algorithm;filename;run_number;total_iter;hex_sum_knapsack_time;hex_sum_sort_time;hex_sum_master_prob_time;hex_rolls;
ukp5_fp_cutstock;1002_80000_DI_12.csp.txt;1;5108;0x1.7a62dfc31ea3dp+5;0x1.199ec7abd0a7cp-2;0x1.2b6059925c53cp+6;0x1.4c0000044328fp+8;
ukp5_fp_ns_cutstock;1002_80000_DI_12.csp.txt;1;5245;0x1.dd3f3ad13fd7ap+4;0x0p+0;0x1.38f83aaf423dap+6;0x1.4c00000576318p+8;
ukp5_int_cutstock;1002_80000_DI_12.csp.txt;1;5172;0x1.54e3d12a3236bp+5;0x1.ed8ff7370c385p-3;0x1.2c7378141f00dp+6;0x1.4c0000051831cp+8;
ukp5_int_ns_cutstock;1002_80000_DI_12.csp.txt;1;5172;0x1.adab123a83f91p+4;0x0p+0;0x1.2cbb152c7bccep+6;0x1.4c0000051831cp+8;
mtu1_cutstock;1002_80000_DI_12.csp.txt;1;;;;;;
cplex_cutstock;1002_80000_DI_12.csp.txt;1;;;;;;
ukp5_fp_cutstock;1002_80000_DI_13.csp.txt;1;5275;0x1.64b6b70848004p+5;0x1.289c467ac1437p-2;0x1.56faca4f99f0cp+6;0x1.4c00003d5572cp+8;
ukp5_fp_ns_cutstock;1002_80000_DI_13.csp.txt;1;5297;0x1.efeb2136ba03fp+4;0x0p+0;0x1.502fd14b2587ap+6;0x1.4c00002b77125p+8;
ukp5_int_cutstock;1002_80000_DI_13.csp.txt;1;5199;0x1.4a21409fc71efp+5;0x1.005e39e0e623ap-2;0x1.43abeeab2a208p+6;0x1.4c000028bf9dap+8;
ukp5_int_ns_cutstock;1002_80000_DI_13.csp.txt;1;5238;0x1.cec76f2d09784p+4;0x0p+0;0x1.4439988069f21p+6;0x1.4c00002ab427ap+8;
mtu1_cutstock;1002_80000_DI_13.csp.txt;1;;;;;;
cplex_cutstock;1002_80000_DI_13.csp.txt;1;;;;;;
ukp5_fp_cutstock;1002_80000_DI_15.csp.txt;1;5706;0x1.a52d0cb4994e4p+5;0x1.3b0a4bef7de2fp-2;0x1.5493d74d8cd7cp+6;0x1.4c0000017fb7cp+8;
ukp5_fp_ns_cutstock;1002_80000_DI_15.csp.txt;1;5513;0x1.f6992ee4cd7dap+4;0x0p+0;0x1.4ac252a411c1bp+6;0x1.4bffffffffffep+8;
ukp5_int_cutstock;1002_80000_DI_15.csp.txt;1;5534;0x1.6b6da0adf124fp+5;0x1.0851bc2421e21p-2;0x1.49386a0865071p+6;0x1.4c0000032a297p+8;
ukp5_int_ns_cutstock;1002_80000_DI_15.csp.txt;1;5531;0x1.e2e63ab4285cfp+4;0x0p+0;0x1.4968e9a79b5d4p+6;0x1.4c000009ff46p+8;
mtu1_cutstock;1002_80000_DI_15.csp.txt;1;;;;;;
cplex_cutstock;1002_80000_DI_15.csp.txt;1;;;;;;
ukp5_fp_cutstock;1002_80000_DI_42.csp.txt;1;5037;0x1.629e5d8791fb7p+5;0x1.12fc977bee49cp-2;0x1.27acdf07e2cdep+6;0x1.4bffffffffffbp+8;
ukp5_fp_ns_cutstock;1002_80000_DI_42.csp.txt;1;5069;0x1.d506190dcba34p+4;0x0p+0;0x1.24070d94be13p+6;0x1.4bfffffffffffp+8;
ukp5_int_cutstock;1002_80000_DI_42.csp.txt;1;5198;0x1.4b6be394ff1a7p+5;0x1.eae2fad05a0eep-3;0x1.325328272a54ap+6;0x1.4bffffffffff9p+8;
ukp5_int_ns_cutstock;1002_80000_DI_42.csp.txt;1;5175;0x1.b33b220d7997fp+4;0x0p+0;0x1.307078fd8f2f4p+6;0x1.4bfffffffffffp+8;
mtu1_cutstock;1002_80000_DI_42.csp.txt;1;;;;;;
cplex_cutstock;1002_80000_DI_42.csp.txt;1;;;;;;
ukp5_fp_cutstock;1002_80000_DI_44.csp.txt;1;5110;0x1.31d5b632c63fdp+5;0x1.111434842fe96p-2;0x1.103eb68f2656cp+6;0x1.4c0000110acb8p+8;
ukp5_fp_ns_cutstock;1002_80000_DI_44.csp.txt;1;5105;0x1.944205824af3bp+4;0x0p+0;0x1.15f654f2f6822p+6;0x1.4bfffffffffffp+8;
ukp5_int_cutstock;1002_80000_DI_44.csp.txt;1;5087;0x1.1220a8f0b5c73p+5;0x1.d7679e051f60ep-3;0x1.0f86d0d19431dp+6;0x1.4c00000000004p+8;
