algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
cpp-mtu2_desktop_uc1;hi_n50000-4-s182130978c27011999.ukp;1;;1000.00;4820;;
fmtu2_desktop_uc1;nsds2_n20000wmin50000-15-s161344243c1048427.ukp;1;5.412000179;5.47;3764;1343116;
fmtu1_desktop_uc1;hi_n50000-41-s262685617c62864809.ukp;1;;1000.00;3252;;
fmtu1_desktop_uc1;sc_a-5n5000wmin15000-1-c322555.ukp;1;;1000.00;3292;;
fmtu2_desktop_uc1;hi_n50000-43-s325989053c20206604.ukp;1;;1000.00;3260;;
cpp-mtu2_desktop_uc1;saw_n50000wmin5000-3-s952877847c349670.ukp;1;;1000.00;5676;;
fmtu1_desktop_uc1;saw_n10000wmin10000-18-s152335818c316364.ukp;1;0.226999998;0.29;3244;316486;
cpp-mtu2_desktop_uc1;hi_n5000-27-s532584774c4924154.ukp;1;;1000.00;3380;;
cpp-mtu1_desktop_uc1;ss2_wmin50000wmax1000000n20000-0-s827183242c7587102.ukp;1;0.0151765;0.05;4296;7587102;
fmtu2_desktop_uc1;ss2_wmin100000wmax500000n20000-0-s827183242c7127247.ukp;1;;1000.00;3236;;
fmtu2_desktop_uc1;hi_n20000-7-s586106970c28033333.ukp;1;;1000.00;3344;;
fmtu1_desktop_uc1;saw_n100000wmin10000-9-s840509679c6574795.ukp;1;49.604999542;49.86;8812;6578079;
fmtu1_desktop_uc1;ss2_wmin5000wmax500000n50000-0-s827183242c8053326.ukp;1;0.003000000;0.14;5732;8053326;
cpp-mtu1_desktop_uc1;nsds2_n50000wmin50000-19-s618866736c1395411.ukp;1;2.24457;2.35;5880;4170261;
cpp-mtu1_desktop_uc1;nsds2_n20000wmin50000-15-s161344243c1048427.ukp;1;1.94714;1.99;4296;1343116;
cpp-mtu2_desktop_uc1;hi_n10000-22-s434860255c92425089.ukp;1;;1000.00;3564;;
fmtu2_desktop_uc1;hi_n10000-49-s147981886c59878474.ukp;1;;1000.00;3344;;
cpp-mtu2_desktop_uc1;hi_n10000-36-s442208726c59442236.ukp;1;0.00122773;0.03;3464;6022409912;
fmtu2_desktop_uc1;hi_n50000-16-s221755733c4342551.ukp;1;;1000.00;3388;;
fmtu2_desktop_uc1;nsds2_n20000wmin50000-0-s155213243c1302296.ukp;1;2.098999977;2.18;3760;1669053;
cpp-mtu1_desktop_uc1;hi_n20000-24-s320356631c99252240.ukp;1;;1000.00;4216;;
fmtu1_desktop_uc1;nsds2_n50000wmin50000-19-s618866736c1395411.ukp;1;4.507999897;4.64;5616;4170261;
cpp-mtu2_desktop_uc1;sc_a-5n10000wmin110000-1-c4997908.ukp;1;;1000.00;3444;;
fmtu1_desktop_uc1;nsds2_n20000wmin50000-0-s155213243c1302296.ukp;1;0.598999977;0.65;3760;1669053;
fmtu2_desktop_uc1;ss2_wmin5000wmax500000n50000-0-s827183242c8053326.ukp;1;;1000.00;3260;;
fmtu1_desktop_uc1;saw_n100000wmin10000-1-s464585179c8808515.ukp;1;;1000.00;3340;;
fmtu1_desktop_uc1;saw_n50000wmin10000-16-s98298363c192212.ukp;1;0.052000001;0.18;5672;192287;
fmtu2_desktop_uc1;hi_n10000-17-s994385767c76272157.ukp;1;;1000.00;3392;;
cpp-mtu1_desktop_uc1;hi_n50000-22-s434860255c25572452.ukp;1;;1000.00;5980;;
fmtu2_desktop_uc1;saw_n50000wmin5000-21-s268466337c725245.ukp;1;0.003000000;0.13;4164;725679;
fmtu1_desktop_uc1;hi_n50000-18-s575639252c15725846.ukp;1;;1000.00;3312;;
cpp-mtu2_desktop_uc1;hi_n10000-37-s252959003c73320246.ukp;1;;1000.00;3472;;
fmtu2_desktop_uc1;hi_n20000-33-s126192256c21861015.ukp;1;;1000.00;3284;;
