algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
mgreendp;hi_n10000-0-s731232778c45667812.ukp;1;0.301422;0.33;717120;4603064578;
mgreendp;hi_n10000-10-s199607488c69682757.ukp;1;0.370626;0.40;1007068;7059536142;
mgreendp;hi_n10000-11-s895832870c87027021.ukp;1;0.483323;0.51;1363216;8799433767;
mgreendp;hi_n10000-12-s420935988c69330407.ukp;1;0.391671;0.42;1086756;7022051602;
mgreendp;hi_n10000-13-s204947608c51012814.ukp;1;0.332847;0.36;800584;5149953317;
mgreendp;hi_n10000-14-s318339058c72410003.ukp;1;0.297749;0.32;813068;7336849032;
mgreendp;hi_n10000-15-s750851024c76269221.ukp;1;0.424506;0.45;1195160;7711846044;
mgreendp;hi_n10000-16-s221755733c6712104.ukp;1;0.176807;0.20;108308;657981535;
mgreendp;hi_n10000-17-s994385767c76272157.ukp;1;0.409343;0.43;1195092;7721680742;
mgreendp;hi_n10000-18-s575639252c63036883.ukp;1;0.381867;0.41;988488;6363488798;
mgreendp;hi_n10000-19-s808826180c61166829.ukp;1;0.364697;0.39;959180;6178122360;
mgreendp;hi_n10000-1-s594914841c52926330.ukp;1;0.325643;0.34;830396;5337839522;
mgreendp;hi_n10000-20-s742053853c73621875.ukp;1;0.288172;0.31;681832;7459728706;
mgreendp;hi_n10000-21-s669712253c96279181.ukp;1;0.489913;0.51;1507696;9748536169;
mgreendp;hi_n10000-22-s434860255c92425089.ukp;1;0.472919;0.50;1447536;9358930559;
mgreendp;hi_n10000-23-s605460062c54812232.ukp;1;0.343664;0.37;859884;5528611140;
mgreendp;hi_n10000-24-s320356631c83848093.ukp;1;0.431909;0.45;1313556;8471416844;
mgreendp;hi_n10000-25-s199811851c76710035.ukp;1;0.402376;0.43;1202108;7748598782;
mgreendp;hi_n10000-26-s90924128c8247071.ukp;1;0.179272;0.20;132376;820583086;
mgreendp;hi_n10000-27-s532584774c72723498.ukp;1;0.395128;0.42;1139792;7344796108;
mgreendp;hi_n10000-28-s882501307c77307903.ukp;1;0.457652;0.48;1211300;7831318901;
mgreendp;hi_n10000-29-s443600954c54711483.ukp;1;0.335129;0.35;858188;5528180371;
mgreendp;hi_n10000-2-s324673955c67603969.ukp;1;0.285516;0.31;761820;6849567353;
mgreendp;hi_n10000-30-s418727292c56574382.ukp;1;0.350308;0.37;887404;5706182036;
mgreendp;hi_n10000-31-s410031365c77889933.ukp;1;0.480281;0.50;1220564;7866605653;
mgreendp;hi_n10000-32-s674362184c8388832.ukp;1;0.181515;0.21;134568;827554459;
mgreendp;hi_n10000-33-s126192256c7867079.ukp;1;0.178155;0.20;126396;782523704;
mgreendp;hi_n10000-34-s467641010c48504579.ukp;1;0.325834;0.35;761304;4894056115;
mgreendp;hi_n10000-35-s889293313c70201258.ukp;1;0.442437;0.47;1100404;7098543390;
mgreendp;hi_n10000-36-s442208726c59442236.ukp;1;0.245596;0.27;563036;6022409912;
mgreendp;hi_n10000-37-s252959003c73320246.ukp;1;0.407343;0.43;1149084;7415260420;
mgreendp;hi_n10000-38-s527753500c90683806.ukp;1;0.46962;0.50;1420384;9168116810;
mgreendp;hi_n10000-39-s713413380c48918775.ukp;1;0.376182;0.40;767780;4933046995;
mgreendp;hi_n10000-3-s300958364c65617717.ukp;1;0.364096;0.39;1028600;6625258180;
mgreendp;hi_n10000-40-s534548386c95312321.ukp;1;0.513908;0.53;1492700;9652578982;
mgreendp;hi_n10000-41-s262685617c74110651.ukp;1;0.474805;0.50;1161520;7489658205;
mgreendp;hi_n10000-42-s261146317c82121499.ukp;1;0.440107;0.47;1286600;8300347301;
mgreendp;hi_n10000-43-s325989053c33929358.ukp;1;0.267001;0.29;533560;3416465751;
mgreendp;hi_n10000-44-s539788685c80958891.ukp;1;0.434341;0.45;1268424;8175930486;
mgreendp;hi_n10000-45-s19378828c34021658.ukp;1;0.268332;0.29;535012;3434960436;
mgreendp;hi_n10000-46-s956143877c64789316.ukp;1;0.369102;0.39;1015668;6540164002;
mgreendp;hi_n10000-47-s442730424c11037950.ukp;1;0.194358;0.21;175864;1116286107;
mgreendp;hi_n10000-48-s888315654c85762730.ukp;1;0.45183;0.48;1343536;8671120377;
mgreendp;hi_n10000-49-s147981886c59878474.ukp;1;0.366637;0.39;939096;6043628204;
mgreendp;hi_n10000-4-s182130978c48752651.ukp;1;0.321633;0.34;765272;4914239108;
mgreendp;hi_n10000-5-s554525798c27721806.ukp;1;0.252627;0.28;436548;2782775797;
mgreendp;hi_n10000-6-s398797429c16372434.ukp;1;0.206812;0.23;259352;1637020521;
mgreendp;hi_n10000-7-s586106970c93158297.ukp;1;0.469747;0.49;1459020;9414637563;
mgreendp;hi_n10000-8-s67683560c34964751.ukp;1;0.264842;0.28;549736;3524932327;
mgreendp;hi_n10000-9-s915258292c6311802.ukp;1;0.179577;0.20;102108;620258958;
mgreendp;hi_n20000-0-s731232778c13130598.ukp;1;0.579336;0.62;208692;2646192048;
mgreendp;hi_n20000-10-s199607488c47897810.ukp;1;0.782256;0.83;752136;9602304553;
mgreendp;hi_n20000-11-s895832870c21445624.ukp;1;0.619089;0.66;338740;4286222831;
mgreendp;hi_n20000-12-s420935988c55461121.ukp;1;0.724973;0.77;870380;11166156062;
mgreendp;hi_n20000-13-s204947608c77271005.ukp;1;0.905434;0.95;1210880;15535724455;
mgreendp;hi_n20000-14-s318339058c57605881.ukp;1;0.737348;0.79;903796;11590953581;
mgreendp;hi_n20000-15-s750851024c17795343.ukp;1;0.585525;0.63;281776;3536797452;
mgreendp;hi_n20000-16-s221755733c31287203.ukp;1;0.68243;0.73;492568;6302830157;
mgreendp;hi_n20000-17-s994385767c39687653.ukp;1;0.661618;0.71;623800;7954211035;
mgreendp;hi_n20000-18-s575639252c60094940.ukp;1;0.605724;0.66;570260;12111929286;
mgreendp;hi_n20000-19-s808826180c78733090.ukp;1;0.813542;0.86;1233816;15843413187;
mgreendp;hi_n20000-1-s594914841c61666657.ukp;1;0.75668;0.80;967064;12427088499;
mgreendp;hi_n20000-20-s742053853c66621104.ukp;1;0.813885;0.86;1044664;13421598642;
mgreendp;hi_n20000-21-s669712253c80951944.ukp;1;0.822362;0.87;1134756;16314351320;
mgreendp;hi_n20000-22-s434860255c66089141.ukp;1;0.945157;0.98;1036152;13306257875;
mgreendp;hi_n20000-23-s605460062c74433867.ukp;1;0.813263;0.85;1166752;14969284591;
mgreendp;hi_n20000-24-s320356631c99252240.ukp;1;1.0594;1.10;1554600;19994225459;
mgreendp;hi_n20000-25-s199811851c12031782.ukp;1;0.573164;0.62;191692;2409849321;
mgreendp;hi_n20000-26-s90924128c44036015.ukp;1;0.682747;0.73;691744;8825439085;
mgreendp;hi_n20000-27-s532584774c55453527.ukp;1;0.709056;0.75;870056;11164198706;
mgreendp;hi_n20000-28-s882501307c67192471.ukp;1;0.83784;0.88;1053592;13496631391;
mgreendp;hi_n20000-29-s443600954c92125949.ukp;1;0.946678;0.99;1442964;18566619777;
mgreendp;hi_n20000-2-s324673955c91206311.ukp;1;0.858476;0.90;1428720;18350640869;
mgreendp;hi_n20000-30-s418727292c82162365.ukp;1;1.01412;1.06;1287584;16509134386;
mgreendp;hi_n20000-31-s410031365c69379204.ukp;1;0.79923;0.84;1087820;13949599481;
mgreendp;hi_n20000-32-s674362184c74104370.ukp;1;0.886887;0.93;1161384;14929640648;
mgreendp;hi_n20000-33-s126192256c21861015.ukp;1;0.606101;0.65;345320;4359439552;
mgreendp;hi_n20000-34-s467641010c40842012.ukp;1;0.752325;0.80;641720;8180607175;
mgreendp;hi_n20000-35-s889293313c63466318.ukp;1;0.781114;0.83;995336;12761164425;
mgreendp;hi_n20000-36-s442208726c47872978.ukp;1;0.697568;0.74;751792;9607890093;
mgreendp;hi_n20000-37-s252959003c48079947.ukp;1;0.720877;0.77;755128;9659733607;
mgreendp;hi_n20000-38-s527753500c52694607.ukp;1;0.730435;0.78;771772;10619706294;
mgreendp;hi_n20000-39-s713413380c94443202.ukp;1;1.31001;1.36;1479524;18982007823;
mgreendp;hi_n20000-3-s300958364c56418527.ukp;1;0.760995;0.81;885224;11348585540;
mgreendp;hi_n20000-40-s534548386c12675341.ukp;1;0.565675;0.61;201784;2503731053;
mgreendp;hi_n20000-41-s262685617c55170783.ukp;1;0.725665;0.77;865636;11071762104;
mgreendp;hi_n20000-42-s261146317c86648320.ukp;1;0.886421;0.93;1357644;17430101586;
mgreendp;hi_n20000-43-s325989053c19041897.ukp;1;0.577109;0.62;301292;3809764957;
mgreendp;hi_n20000-44-s539788685c31401096.ukp;1;0.641814;0.69;494240;6312041531;
mgreendp;hi_n20000-45-s19378828c13553251.ukp;1;0.592744;0.63;215468;2684674990;
mgreendp;hi_n20000-46-s956143877c63853327.ukp;1;0.778797;0.82;1001468;12861791441;
mgreendp;hi_n20000-47-s442730424c7402537.ukp;1;0.545;0.59;119396;1448123187;
mgreendp;hi_n20000-48-s888315654c53293071.ukp;1;0.7149;0.75;836304;10694896201;
mgreendp;hi_n20000-49-s147981886c75371478.ukp;1;0.872014;0.92;1181324;15145433899;
mgreendp;hi_n20000-4-s182130978c46428515.ukp;1;0.703183;0.75;729068;9352352494;
mgreendp;hi_n20000-5-s554525798c51592665.ukp;1;0.755296;0.80;809604;10396708836;
mgreendp;hi_n20000-6-s398797429c8780715.ukp;1;0.545683;0.59;140908;1727442377;
mgreendp;hi_n20000-7-s586106970c28033333.ukp;1;0.673986;0.71;441704;5618713683;
mgreendp;hi_n20000-8-s67683560c88368892.ukp;1;0.846605;0.89;1384404;17759085881;
mgreendp;hi_n20000-9-s915258292c11465474.ukp;1;0.606867;0.65;182940;2263660967;
mgreendp;hi_n50000-0-s731232778c74736455.ukp;1;3.80277;3.91;1172552;37498418848;
mgreendp;hi_n50000-10-s199607488c2381940.ukp;1;3.43006;3.54;42068;1078406771;
mgreendp;hi_n50000-11-s895832870c37192439.ukp;1;3.55025;3.66;585672;18555608519;
mgreendp;hi_n50000-12-s420935988c11457020.ukp;1;3.39401;3.50;183320;5668617083;
mgreendp;hi_n50000-13-s204947608c65982738.ukp;1;3.73913;3.85;1035748;33057911470;
mgreendp;hi_n50000-14-s318339058c28750683.ukp;1;3.28675;3.39;326600;14434979530;
mgreendp;hi_n50000-15-s750851024c5684250.ukp;1;3.27785;3.38;93320;2720618567;
mgreendp;hi_n50000-16-s221755733c4342551.ukp;1;3.2227;3.32;72544;2082282105;
mgreendp;hi_n50000-17-s994385767c38562037.ukp;1;3.53223;3.64;510296;19360320968;
mgreendp;hi_n50000-18-s575639252c15725846.ukp;1;3.45084;3.56;250444;7776472563;
mgreendp;hi_n50000-19-s808826180c41622293.ukp;1;3.38747;3.49;654844;20785081086;
mgreendp;hi_n50000-1-s594914841c53791268.ukp;1;3.71481;3.82;845112;27006171766;
mgreendp;hi_n50000-20-s742053853c54992286.ukp;1;3.60517;3.72;863628;27610414933;
mgreendp;hi_n50000-21-s669712253c19149666.ukp;1;3.39457;3.51;304420;9494186020;
mgreendp;hi_n50000-22-s434860255c25572452.ukp;1;3.37181;3.48;404356;12802322345;
mgreendp;hi_n50000-23-s605460062c35373194.ukp;1;3.39826;3.50;557268;17627884782;
mgreendp;hi_n50000-24-s320356631c94209554.ukp;1;3.7683;3.87;1476592;47279866768;
mgreendp;hi_n50000-25-s199811851c19155432.ukp;1;3.38901;3.49;303848;9506182833;
mgreendp;hi_n50000-26-s90924128c31212485.ukp;1;3.57566;3.68;492372;15594578869;
mgreendp;hi_n50000-27-s532584774c87763824.ukp;1;3.84551;3.95;1375964;43937109706;
mgreendp;hi_n50000-28-s882501307c87480129.ukp;1;3.65182;3.76;1365344;43920477533;
mgreendp;hi_n50000-29-s443600954c83030003.ukp;1;3.68019;3.80;1302032;41683840681;
mgreendp;hi_n50000-2-s324673955c50146896.ukp;1;3.64187;3.74;788112;25134945752;
mgreendp;hi_n50000-30-s418727292c90211289.ukp;1;3.65181;3.76;1413756;45290793835;
mgreendp;hi_n50000-31-s410031365c5184644.ukp;1;3.23915;3.35;85092;2586142610;
mgreendp;hi_n50000-32-s674362184c38630208.ukp;1;3.45217;3.56;608088;19283787034;
mgreendp;hi_n50000-33-s126192256c89138604.ukp;1;3.73971;3.85;1349240;44752603881;
mgreendp;hi_n50000-34-s467641010c41676479.ukp;1;3.44717;3.55;591544;20924040526;
mgreendp;hi_n50000-35-s889293313c39186005.ukp;1;3.49839;3.60;616660;19672243189;
mgreendp;hi_n50000-36-s442208726c8269526.ukp;1;3.23243;3.34;133784;4151705771;
mgreendp;hi_n50000-37-s252959003c57280825.ukp;1;3.66738;3.77;899716;28682980680;
mgreendp;hi_n50000-38-s527753500c81942907.ukp;1;3.64926;3.76;1284748;41137600320;
mgreendp;hi_n50000-39-s713413380c36882487.ukp;1;3.41446;3.53;580932;18514969231;
mgreendp;hi_n50000-3-s300958364c58496380.ukp;1;3.56511;3.67;918124;29309834327;
mgreendp;hi_n50000-40-s534548386c55171512.ukp;1;3.3893;3.50;671488;27700076775;
mgreendp;hi_n50000-41-s262685617c62864809.ukp;1;3.57347;3.67;986860;31430869759;
mgreendp;hi_n50000-42-s261146317c27074738.ukp;1;3.47931;3.58;427508;13463143156;
mgreendp;hi_n50000-43-s325989053c20206604.ukp;1;3.31137;3.41;320188;10036840611;
mgreendp;hi_n50000-44-s539788685c74810341.ukp;1;3.6835;3.79;1173520;37492554315;
mgreendp;hi_n50000-45-s19378828c59507496.ukp;1;3.54309;3.64;934516;29819867539;
mgreendp;hi_n50000-46-s956143877c64815374.ukp;1;3.60033;3.71;1017340;32539616760;
mgreendp;hi_n50000-47-s442730424c21809652.ukp;1;3.30521;3.41;345516;10840411791;
mgreendp;hi_n50000-48-s888315654c8772196.ukp;1;3.32111;3.43;141660;4270754880;
mgreendp;hi_n50000-49-s147981886c93577815.ukp;1;3.67;3.78;1466776;46858559365;
mgreendp;hi_n50000-4-s182130978c27011999.ukp;1;3.35649;3.46;426792;13560062880;
mgreendp;hi_n50000-5-s554525798c52985829.ukp;1;3.47344;3.58;832588;26481189157;
mgreendp;hi_n50000-6-s398797429c71971621.ukp;1;3.5633;3.66;1129628;36030904453;
mgreendp;hi_n50000-7-s586106970c24692675.ukp;1;3.31813;3.43;350396;12397481623;
mgreendp;hi_n50000-8-s67683560c5172209.ukp;1;3.25553;3.37;85160;2577374085;
mgreendp;hi_n50000-9-s915258292c88886832.ukp;1;3.86134;3.97;1393868;44528626130;
mgreendp;hi_n5000-0-s731232778c5052835.ukp;1;0.0436307;0.05;82108;263175571;
mgreendp;hi_n5000-10-s199607488c6746697.ukp;1;0.0507723;0.07;108656;350532596;
mgreendp;hi_n5000-11-s895832870c9741414.ukp;1;0.0570343;0.07;155256;506070176;
mgreendp;hi_n5000-12-s420935988c6348861.ukp;1;0.045274;0.06;102216;329391721;
mgreendp;hi_n5000-13-s204947608c5984264.ukp;1;0.0442199;0.06;96632;310281581;
mgreendp;hi_n5000-14-s318339058c4983076.ukp;1;0.0476451;0.06;80936;258168718;
mgreendp;hi_n5000-15-s750851024c5241702.ukp;1;0.0440862;0.06;80324;272759649;
mgreendp;hi_n5000-16-s221755733c3795391.ukp;1;0.0369256;0.05;62216;197618221;
mgreendp;hi_n5000-17-s994385767c5488791.ukp;1;0.041507;0.06;88844;285770977;
mgreendp;hi_n5000-18-s575639252c2452692.ukp;1;0.0392865;0.05;41500;127509629;
mgreendp;hi_n5000-19-s808826180c589971.ukp;1;0.0239372;0.04;12280;29894792;
mgreendp;hi_n5000-1-s594914841c3897377.ukp;1;0.0354761;0.05;64088;202828256;
mgreendp;hi_n5000-20-s742053853c4277527.ukp;1;0.0377438;0.05;70120;222333758;
mgreendp;hi_n5000-21-s669712253c4156282.ukp;1;0.0378075;0.05;67992;215265089;
mgreendp;hi_n5000-22-s434860255c760592.ukp;1;0.027008;0.04;15092;38292306;
mgreendp;hi_n5000-23-s605460062c1320121.ukp;1;0.0258932;0.04;23704;68471306;
mgreendp;hi_n5000-24-s320356631c289111.ukp;1;0.0228556;0.04;7776;14241433;
mgreendp;hi_n5000-25-s199811851c295352.ukp;1;0.0228073;0.04;7664;14841895;
mgreendp;hi_n5000-26-s90924128c4784946.ukp;1;0.0403923;0.05;77912;248005346;
