algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
eduk;128_16_std_breqd-n2048-s0.ukp;1;0.78333;0.78;9164;4119230;
eduk2;128_16_std_breqd-n2048-s0.ukp;1;0.00333;0.00;4424;4119230;
ukp5;128_16_std_breqd-n2048-s0.ukp;1;0.0344916;0.05;13620;4119230;
ukp5_sbw;128_16_std_breqd-n2048-s0.ukp;1;0.0230313;0.03;13780;4119230;
cpp-mtu1;128_16_std_breqd-n2048-s0.ukp;1;0.000153343;0.01;3420;4119230;
cpp-mtu2;128_16_std_breqd-n2048-s0.ukp;1;9.4349e-05;0.00;3456;4119230;
mgreendp;128_16_std_breqd-n2048-s0.ukp;1;0.0279347;0.04;7112;4119230;
mgreendp1;128_16_std_breqd-n2048-s0.ukp;1;210.897;210.91;875348;4119227;
eduk;128_16_std_breqd-n2048-s1.ukp;1;0.43000;0.44;9296;4072260;
eduk2;128_16_std_breqd-n2048-s1.ukp;1;0.00000;0.00;6212;4072260;
ukp5;128_16_std_breqd-n2048-s1.ukp;1;0.0149029;0.03;13616;4072260;
ukp5_sbw;128_16_std_breqd-n2048-s1.ukp;1;0.0226107;0.03;13604;4072260;
cpp-mtu1;128_16_std_breqd-n2048-s1.ukp;1;0.000128439;0.01;3528;4072260;
cpp-mtu2;128_16_std_breqd-n2048-s1.ukp;1;8.851e-05;0.01;3428;4072260;
mgreendp;128_16_std_breqd-n2048-s1.ukp;1;0.00125031;0.01;5380;4072260;
mgreendp1;128_16_std_breqd-n2048-s1.ukp;1;85.2796;85.29;865632;4072260;
eduk;128_16_std_breqd-n2048-s2.ukp;1;0.99667;1.01;9284;4194304;
eduk2;128_16_std_breqd-n2048-s2.ukp;1;0.00000;0.00;6192;4194304;
ukp5;128_16_std_breqd-n2048-s2.ukp;1;0.0385826;0.04;13772;4194304;
ukp5_sbw;128_16_std_breqd-n2048-s2.ukp;1;0.0221931;0.03;13740;4194304;
cpp-mtu1;128_16_std_breqd-n2048-s2.ukp;1;0.000112362;0.01;3412;4194304;
cpp-mtu2;128_16_std_breqd-n2048-s2.ukp;1;5.706e-05;0.01;3464;4194304;
mgreendp;128_16_std_breqd-n2048-s2.ukp;1;0.0261663;0.03;7120;4194304;
mgreendp1;128_16_std_breqd-n2048-s2.ukp;1;281.864;281.87;890520;4194304;
eduk;128_16_std_breqd-n2048-s3.ukp;1;0.26000;0.27;8984;4100907;
eduk2;128_16_std_breqd-n2048-s3.ukp;1;0.00000;0.00;4352;4100907;
ukp5;128_16_std_breqd-n2048-s3.ukp;1;0.0116185;0.02;13660;4100907;
ukp5_sbw;128_16_std_breqd-n2048-s3.ukp;1;0.0218441;0.03;13768;4100907;
cpp-mtu1;128_16_std_breqd-n2048-s3.ukp;1;0.000123577;0.01;3420;4100907;
cpp-mtu2;128_16_std_breqd-n2048-s3.ukp;1;8.3591e-05;0.01;3404;4100907;
mgreendp;128_16_std_breqd-n2048-s3.ukp;1;0.000660274;0.01;5224;4100907;
mgreendp1;128_16_std_breqd-n2048-s3.ukp;1;82.4778;82.49;869428;4100907;
eduk;128_16_std_breqd-n2048-s4.ukp;1;0.29000;0.30;8160;4096692;
eduk2;128_16_std_breqd-n2048-s4.ukp;1;0.00000;0.00;4220;4096692;
ukp5;128_16_std_breqd-n2048-s4.ukp;1;0.0133836;0.03;13632;4096692;
ukp5_sbw;128_16_std_breqd-n2048-s4.ukp;1;0.0254649;0.03;13804;4096692;
cpp-mtu1;128_16_std_breqd-n2048-s4.ukp;1;0.000112283;0.01;3436;4096692;
cpp-mtu2;128_16_std_breqd-n2048-s4.ukp;1;9.0648e-05;0.01;3500;4096692;
mgreendp;128_16_std_breqd-n2048-s4.ukp;1;0.00060473;0.00;5156;4096692;
mgreendp1;128_16_std_breqd-n2048-s4.ukp;1;97.158;97.17;882740;4096692;
eduk;128_16_std_breqd-n2048-s5.ukp;1;0.27333;0.28;8416;4149436;
eduk2;128_16_std_breqd-n2048-s5.ukp;1;0.00000;0.00;4328;4149436;
ukp5;128_16_std_breqd-n2048-s5.ukp;1;0.0153736;0.02;13804;4149436;
ukp5_sbw;128_16_std_breqd-n2048-s5.ukp;1;0.0212283;0.03;13680;4149436;
cpp-mtu1;128_16_std_breqd-n2048-s5.ukp;1;0.000126631;0.01;3552;4149436;
cpp-mtu2;128_16_std_breqd-n2048-s5.ukp;1;8.4363e-05;0.01;3452;4149436;
mgreendp;128_16_std_breqd-n2048-s5.ukp;1;0.000613779;0.00;5332;4149436;
mgreendp1;128_16_std_breqd-n2048-s5.ukp;1;89.8261;89.85;894700;4149436;
eduk;128_16_std_breqd-n2048-s6.ukp;1;0.34333;0.35;8812;4108391;
eduk2;128_16_std_breqd-n2048-s6.ukp;1;0.00000;0.00;4400;4108391;
ukp5;128_16_std_breqd-n2048-s6.ukp;1;0.0134185;0.03;13880;4108391;
ukp5_sbw;128_16_std_breqd-n2048-s6.ukp;1;0.0224261;0.03;13640;4108391;
cpp-mtu1;128_16_std_breqd-n2048-s6.ukp;1;0.000112175;0.01;3444;4108391;
cpp-mtu2;128_16_std_breqd-n2048-s6.ukp;1;0.000334706;0.03;3344;4108391;
mgreendp;128_16_std_breqd-n2048-s6.ukp;1;0.000612482;0.01;5280;4108391;
mgreendp1;128_16_std_breqd-n2048-s6.ukp;1;94.3213;94.33;884044;4108391;
eduk;128_16_std_breqd-n2048-s7.ukp;1;1.07000;1.08;9280;4106084;
eduk2;128_16_std_breqd-n2048-s7.ukp;1;0.00333;0.00;6252;4106084;
ukp5;128_16_std_breqd-n2048-s7.ukp;1;0.0461451;0.06;13740;4106084;
ukp5_sbw;128_16_std_breqd-n2048-s7.ukp;1;0.0232088;0.03;13656;4106084;
cpp-mtu1;128_16_std_breqd-n2048-s7.ukp;1;0.000140259;0.01;3416;4106084;
cpp-mtu2;128_16_std_breqd-n2048-s7.ukp;1;0.000108531;0.01;3548;4106084;
mgreendp;128_16_std_breqd-n2048-s7.ukp;1;0.00112271;0.01;5396;4106084;
mgreendp1;128_16_std_breqd-n2048-s7.ukp;1;187.706;187.72;881640;4106080;
eduk;128_16_std_breqd-n2048-s8.ukp;1;0.14000;0.14;7608;4159549;
eduk2;128_16_std_breqd-n2048-s8.ukp;1;0.00000;0.00;4328;4159549;
ukp5;128_16_std_breqd-n2048-s8.ukp;1;0.0115171;0.03;13596;4159549;
ukp5_sbw;128_16_std_breqd-n2048-s8.ukp;1;0.0215696;0.03;13548;4159549;
cpp-mtu1;128_16_std_breqd-n2048-s8.ukp;1;0.000113019;0.00;3572;4159549;
cpp-mtu2;128_16_std_breqd-n2048-s8.ukp;1;8.4293e-05;0.00;3548;4159549;
mgreendp;128_16_std_breqd-n2048-s8.ukp;1;0.000673968;0.01;5364;4159549;
mgreendp1;128_16_std_breqd-n2048-s8.ukp;1;71.716;71.73;881148;4159549;
eduk;128_16_std_breqd-n2048-s9.ukp;1;0.22000;0.23;7952;4092652;
eduk2;128_16_std_breqd-n2048-s9.ukp;1;0.00333;0.01;4408;4092652;
ukp5;128_16_std_breqd-n2048-s9.ukp;1;0.0293952;0.05;13580;4092652;
ukp5_sbw;128_16_std_breqd-n2048-s9.ukp;1;0.0300383;0.04;13732;4092652;
cpp-mtu1;128_16_std_breqd-n2048-s9.ukp;1;0.000114478;0.01;3368;4092652;
cpp-mtu2;128_16_std_breqd-n2048-s9.ukp;1;0.000144961;0.02;3340;4092652;
mgreendp;128_16_std_breqd-n2048-s9.ukp;1;0.00100648;0.01;5296;4092652;
mgreendp1;128_16_std_breqd-n2048-s9.ukp;1;71.832;71.84;879012;4092652;
eduk;128_16_std_breqd-n4096-s0.ukp;1;1.17000;1.18;9540;8229768;
eduk2;128_16_std_breqd-n4096-s0.ukp;1;0.00333;0.00;7488;8229768;
ukp5;128_16_std_breqd-n4096-s0.ukp;1;0.0439003;0.06;23908;8229768;
ukp5_sbw;128_16_std_breqd-n4096-s0.ukp;1;0.0945123;0.11;24024;8229768;
cpp-mtu1;128_16_std_breqd-n4096-s0.ukp;1;0.000270714;0.01;3416;8229768;
cpp-mtu2;128_16_std_breqd-n4096-s0.ukp;1;0.000135437;0.01;3408;8229768;
mgreendp;128_16_std_breqd-n4096-s0.ukp;1;0.00121589;0.01;7520;8229768;
mgreendp1;128_16_std_breqd-n4096-s0.ukp;1;418.185;418.20;1900216;8229767;
eduk;128_16_std_breqd-n4096-s1.ukp;1;2.27333;2.28;9916;8216005;
eduk2;128_16_std_breqd-n4096-s1.ukp;1;0.00333;0.00;5512;8216005;
ukp5;128_16_std_breqd-n4096-s1.ukp;1;0.0905076;0.11;23916;8216005;
ukp5_sbw;128_16_std_breqd-n4096-s1.ukp;1;0.0892707;0.10;23912;8216005;
cpp-mtu1;128_16_std_breqd-n4096-s1.ukp;1;0.00026958;0.01;3568;8216005;
cpp-mtu2;128_16_std_breqd-n4096-s1.ukp;1;0.000344811;0.03;3508;8216005;
mgreendp;128_16_std_breqd-n4096-s1.ukp;1;0.00119299;0.02;7436;8216005;
mgreendp1;128_16_std_breqd-n4096-s1.ukp;1;;600.00;1886540;;
eduk;128_16_std_breqd-n4096-s2.ukp;1;4.80667;4.82;13552;8388608;
eduk2;128_16_std_breqd-n4096-s2.ukp;1;0.00000;0.00;5408;8388608;
ukp5;128_16_std_breqd-n4096-s2.ukp;1;0.196401;0.22;23976;8388608;
ukp5_sbw;128_16_std_breqd-n4096-s2.ukp;1;0.0896216;0.11;23828;8388608;
cpp-mtu1;128_16_std_breqd-n4096-s2.ukp;1;0.000234576;0.01;3452;8388608;
cpp-mtu2;128_16_std_breqd-n4096-s2.ukp;1;7.7536e-05;0.02;3540;8388608;
mgreendp;128_16_std_breqd-n4096-s2.ukp;1;0.138723;0.18;11488;8388608;
mgreendp1;128_16_std_breqd-n4096-s2.ukp;1;;600.00;1924984;;
eduk;128_16_std_breqd-n4096-s3.ukp;1;0.77000;0.78;9268;8257541;
eduk2;128_16_std_breqd-n4096-s3.ukp;1;0.00333;0.00;5516;8257541;
ukp5;128_16_std_breqd-n4096-s3.ukp;1;0.0371144;0.05;23948;8257541;
ukp5_sbw;128_16_std_breqd-n4096-s3.ukp;1;0.0892777;0.10;24004;8257541;
