algorithm;computer;mode;filename;run_number;internal_time;external_time;external_memory;opt;
ukp5;desktop;parallel;hi_n5000-22-s434860255c760592.ukp;1;0.0652485;0.11;22752;38292306;
ukp5;desktop;parallel;hi_n50000-7-s586106970c24692675.ukp;1;3.85904;4.15;596956;12397481623;
ukp5;desktop;parallel;nsds2_n20000wmin20000-1-s720843886c1669722.ukp;1;1.1739;1.28;57616;2096592;
ukp5;desktop;parallel;saw_n50000wmin5000-29-s865843378c1049981.ukp;1;0.724705;0.92;18192;1050815;
ukp5;desktop;parallel;hi_n20000-27-s532584774c55453527.ukp;1;1.70175;1.96;1318496;11164198706;
ukp5;desktop;parallel;nsds2_n50000wmin50000-14-s577520629c1811012.ukp;1;6.56297;6.69;61212;5490122;
ukp5;desktop;parallel;hi_n5000-24-s320356631c289111.ukp;1;0.0325445;0.05;11772;14241433;
ukp5;desktop;parallel;saw_n100000wmin10000-13-s664283699c7633902.ukp;1;7.86622;8.15;106212;7637715;
ukp5;desktop;parallel;hi_n10000-47-s442730424c11037950.ukp;1;0.386548;0.47;277564;1116286107;
ukp5;desktop;parallel;saw_n50000wmin10000-2-s272488647c812838.ukp;1;1.02804;1.15;16576;813080;
ukp5;desktop;parallel;hi_n20000-26-s90924128c44036015.ukp;1;1.22675;1.43;1051108;8825439085;
ukp5;desktop;parallel;hi_n5000-17-s994385767c5488791.ukp;1;0.122998;0.17;133060;285770977;
ukp5;desktop;parallel;nsds2_n20000wmin50000-2-s463795034c1376516.ukp;1;0.907801;0.96;50292;1765896;
ukp5;desktop;parallel;hi_n50000-24-s320356631c94209554.ukp;1;5.06669;5.60;2226520;47279866768;
ukp5;desktop;parallel;hi_n50000-40-s534548386c55171512.ukp;1;4.58481;4.96;1311932;27700076775;
ukp5;desktop;parallel;saw_n50000wmin5000-49-s207481729c596577.ukp;1;0.686696;0.80;15236;597171;
ukp5;desktop;parallel;saw_n50000wmin5000-10-s611338258c832462.ukp;1;0.694581;0.86;17676;833125;
ukp5;desktop;parallel;nsds2_n50000wmin50000-19-s618866736c1395411.ukp;1;5.42966;5.57;51424;4170261;
ukp5;desktop;parallel;sc_a5n10000wmin10000-1-c8848039.ukp;1;0.0900934;0.14;75384;8852459;
ukp5;desktop;parallel;hi_n50000-19-s808826180c41622293.ukp;1;4.9761;5.25;993976;20785081086;
ukp5;desktop;parallel;hi_n5000-49-s147981886c5197266.ukp;1;0.125952;0.17;126848;270536097;
ukp5;desktop;parallel;nsds2_n20000wmin50000-16-s908468142c1790699.ukp;1;2.03371;2.09;60120;2302699;
ukp5;desktop;parallel;hi_n20000-37-s252959003c48079947.ukp;1;1.59709;1.83;1145416;9659733607;
ukp5;desktop;parallel;nsds2_n20000wmin20000-10-s260379653c1491928.ukp;1;0.884684;0.97;53732;1864827;
ukp5;desktop;parallel;hi_n10000-11-s895832870c87027021.ukp;1;1.35776;1.73;2058656;8799433767;
ukp5;desktop;parallel;nsds2_n20000wmin50000-14-s577520629c1757564.ukp;1;1.08551;1.17;59124;2237483;
ukp5;desktop;parallel;hi_n10000-0-s731232778c45667812.ukp;1;0.706133;0.86;943868;4603064578;
ukp5;desktop;parallel;sc_a5n10000wmin50000-0-c8309846.ukp;1;0.358778;0.39;75848;8310676;
ukp5;desktop;parallel;hi_n5000-31-s410031365c7557273.ukp;1;0.133928;0.18;181956;392536090;
ukp5;desktop;parallel;saw_n50000wmin5000-27-s676832060c273723.ukp;1;0.678471;0.80;10412;273776;
ukp5;desktop;parallel;nsds2_n20000wmin20000-11-s577782098c1871029.ukp;1;1.00129;1.06;61608;2360563;
ukp5;desktop;parallel;hi_n10000-27-s532584774c72723498.ukp;1;1.13237;1.39;1723188;7344796108;
ukp5;desktop;parallel;saw_n50000wmin5000-2-s272488647c443045.ukp;1;0.698506;0.82;14584;443308;
ukp5;desktop;parallel;ss2_wmin1000wmax500000n20000-0-s827183242c7166489.ukp;1;0.0111376;0.10;77032;7166489;
ukp5;desktop;parallel;hi_n10000-15-s750851024c76269221.ukp;1;1.20738;1.54;1806456;7711846044;
ukp5;desktop;parallel;saw_n50000wmin5000-34-s855474452c407194.ukp;1;0.707839;0.82;13484;407436;
ukp5;desktop;parallel;hi_n5000-44-s539788685c2014515.ukp;1;0.0776342;0.12;52336;103664827;
ukp5;desktop;parallel;hi_n10000-31-s410031365c77889933.ukp;1;1.28312;1.59;1844292;7866605653;
ukp5;desktop;parallel;saw_n50000wmin5000-22-s423227202c349227.ukp;1;0.709643;0.86;12080;349433;
ukp5;desktop;parallel;hi_n50000-19-s808826180c41622293.ukp;2;3.78756;4.11;994012;20785081086;
ukp5;desktop;parallel;sc_a-5n5000wmin50000-1-c900576.ukp;1;0.181833;0.20;21028;900491;
ukp5;desktop;parallel;saw_n100000wmin10000-3-s952877847c2362745.ukp;1;8.13753;8.38;63024;2363452;
ukp5;desktop;parallel;ss2_wmin10000wmax1000000n100000-0-s827183242c9661788.ukp;1;0.0211811;0.27;111372;9661788;
ukp5;desktop;parallel;sc_a5n5000wmin15000-1-c445950.ukp;1;0.0545221;0.07;8636;446095;
ukp5;desktop;parallel;hi_n50000-17-s994385767c38562037.ukp;1;4.27717;4.56;922604;19360320968;
ukp5;desktop;parallel;hi_n10000-47-s442730424c11037950.ukp;2;0.356455;0.42;277564;1116286107;
ukp5;desktop;parallel;nsds2_n20000wmin20000-10-s260379653c1491928.ukp;2;1.16374;1.25;53724;1864827;
ukp5;desktop;parallel;saw_n100000wmin10000-14-s133254276c2803801.ukp;1;9.02627;9.33;68584;2804360;
ukp5;desktop;parallel;saw_n50000wmin5000-47-s250292681c770033.ukp;1;0.71523;0.88;17268;770340;
ukp5;desktop;parallel;hi_n10000-32-s674362184c8388832.ukp;1;0.36503;0.42;215472;827554459;
ukp5;desktop;parallel;saw_n100000wmin10000-3-s952877847c2362745.ukp;2;9.33359;9.63;61616;2363452;
ukp5;desktop;parallel;hi_n50000-49-s147981886c93577815.ukp;1;4.41682;5.00;2211696;46858559365;
ukp5;desktop;parallel;saw_n50000wmin10000-13-s664283699c1044103.ukp;1;1.00182;1.12;20876;1044621;
ukp5;desktop;parallel;nsds2_n20000wmin20000-17-s414892754c1568401.ukp;1;1.32518;1.38;54220;1969004;
ukp5;desktop;parallel;hi_n50000-11-s895832870c37192439.ukp;1;3.81114;4.12;890192;18555608519;
ukp5;desktop;parallel;saw_n50000wmin5000-3-s952877847c349670.ukp;1;0.697615;0.82;11932;349876;
ukp5;desktop;parallel;hi_n50000-16-s221755733c4342551.ukp;1;3.46633;3.60;120192;2082282105;
ukp5;desktop;parallel;saw_n100000wmin10000-17-s754775117c5339981.ukp;1;6.87759;7.19;88608;5341578;
ukp5;desktop;parallel;ss2_wmin100000wmax500000n20000-0-s827183242c7127247.ukp;1;0.0704368;0.13;76908;7127247;
ukp5;desktop;parallel;saw_n50000wmin10000-0-s985850175c337971.ukp;1;1.00891;1.16;12012;338002;
ukp5;desktop;parallel;ss2_wmin50000wmax1000000n50000-0-s827183242c9635014.ukp;1;0.0343143;0.16;110428;9635014;
ukp5;desktop;parallel;hi_n20000-42-s261146317c86648320.ukp;1;1.78705;2.15;2049688;17430101586;
ukp5;desktop;parallel;saw_n10000wmin10000-2-s272488647c115367.ukp;1;0.126156;0.16;7588;115398;
ukp5;desktop;parallel;hi_n5000-33-s126192256c6034433.ukp;1;0.109964;0.14;146444;313734584;
ukp5;desktop;parallel;ss2_wmin5000wmax500000n50000-0-s827183242c8053326.ukp;1;0.0106609;0.17;83712;8053326;
ukp5;desktop;parallel;ss2_wmin10000wmax500000n100000-0-s827183242c8628995.ukp;1;0.0164707;0.26;87024;8628995;
ukp5;desktop;parallel;hi_n10000-11-s895832870c87027021.ukp;2;1.43791;1.79;2058608;8799433767;
ukp5;desktop;parallel;saw_n100000wmin10000-3-s952877847c2362745.ukp;3;8.16192;8.46;60212;2363452;
ukp5;desktop;parallel;saw_n10000wmin10000-6-s749783978c120801.ukp;1;0.116871;0.14;7736;120847;
ukp5;desktop;parallel;ss2_wmin1000wmax1000000n50000-0-s827183242c7944993.ukp;1;0.0195979;0.19;98424;7944993;
ukp5;desktop;parallel;ss2_wmin10000wmax1000000n50000-0-s827183242c6373385.ukp;1;0.0200665;0.15;87236;6373385;
ukp5;desktop;parallel;nsds2_n20000wmin20000-18-s364656855c1284166.ukp;1;1.15556;1.21;48236;1603691;
ukp5;desktop;parallel;saw_n10000wmin10000-16-s98298363c954260.ukp;1;0.11972;0.15;19184;954638;
ukp5;desktop;parallel;hi_n20000-12-s420935988c55461121.ukp;1;1.41245;1.67;1318712;11166156062;
ukp5;desktop;parallel;nsds2_n20000wmin20000-17-s414892754c1568401.ukp;2;1.24952;1.30;54440;1969004;
ukp5;desktop;parallel;hi_n5000-19-s808826180c589971.ukp;1;0.0373196;0.05;18680;29894792;
ukp5;desktop;parallel;hi_n10000-48-s888315654c85762730.ukp;1;1.31228;1.64;2028964;8671120377;
ukp5;desktop;parallel;saw_n50000wmin10000-11-s727046990c678817.ukp;1;1.01256;1.13;17180;678883;
ukp5;desktop;parallel;hi_n50000-20-s742053853c54992286.ukp;1;4.1837;4.55;1307708;27610414933;
