algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
cpp-mtu2_desktop_uc5;hi_n50000-4-s182130978c27011999.ukp;1;;999.00;4812;;
fmtu2_desktop_uc5;nsds2_n20000wmin50000-15-s161344243c1048427.ukp;1;6.429999828;6.57;3848;1343116;
fmtu1_desktop_uc5;hi_n50000-41-s262685617c62864809.ukp;1;;999.00;3332;;
fmtu1_desktop_uc5;sc_a-5n5000wmin15000-1-c322555.ukp;1;;999.00;3272;;
fmtu2_desktop_uc5;hi_n50000-43-s325989053c20206604.ukp;1;;999.00;3424;;
cpp-mtu2_desktop_uc5;saw_n50000wmin5000-3-s952877847c349670.ukp;1;;999.00;5588;;
fmtu1_desktop_uc5;saw_n10000wmin10000-18-s152335818c316364.ukp;1;0.244000003;0.28;3348;316486;
cpp-mtu2_desktop_uc5;hi_n5000-27-s532584774c4924154.ukp;1;;999.00;3428;;
cpp-mtu1_desktop_uc5;ss2_wmin50000wmax1000000n20000-0-s827183242c7587102.ukp;1;0.0250017;0.09;4324;7587102;
fmtu2_desktop_uc5;ss2_wmin100000wmax500000n20000-0-s827183242c7127247.ukp;1;;999.00;3332;;
fmtu2_desktop_uc5;hi_n20000-7-s586106970c28033333.ukp;1;;999.00;3424;;
fmtu1_desktop_uc5;saw_n100000wmin10000-9-s840509679c6574795.ukp;1;58.823001862;59.14;8784;6578079;
fmtu1_desktop_uc5;ss2_wmin5000wmax500000n50000-0-s827183242c8053326.ukp;1;0.004000000;0.20;5652;8053326;
cpp-mtu1_desktop_uc5;nsds2_n50000wmin50000-19-s618866736c1395411.ukp;1;2.66633;2.83;5956;4170261;
cpp-mtu1_desktop_uc5;nsds2_n20000wmin50000-15-s161344243c1048427.ukp;1;2.32742;2.40;4344;1343116;
cpp-mtu2_desktop_uc5;hi_n10000-22-s434860255c92425089.ukp;1;;999.00;3596;;
fmtu2_desktop_uc5;hi_n10000-49-s147981886c59878474.ukp;1;;999.00;3248;;
cpp-mtu2_desktop_uc5;hi_n10000-36-s442208726c59442236.ukp;1;0.0013809;0.03;3536;6022409912;
fmtu2_desktop_uc5;hi_n50000-16-s221755733c4342551.ukp;1;;999.00;3316;;
fmtu2_desktop_uc5;nsds2_n20000wmin50000-0-s155213243c1302296.ukp;1;2.494999886;2.60;3828;1669053;
cpp-mtu1_desktop_uc5;hi_n20000-24-s320356631c99252240.ukp;1;;999.00;4328;;
fmtu1_desktop_uc5;nsds2_n50000wmin50000-19-s618866736c1395411.ukp;1;5.344999790;5.51;5660;4170261;
cpp-mtu2_desktop_uc5;sc_a-5n10000wmin110000-1-c4997908.ukp;1;;999.00;3472;;
fmtu1_desktop_uc5;nsds2_n20000wmin50000-0-s155213243c1302296.ukp;1;0.708999991;0.78;3692;1669053;
fmtu2_desktop_uc5;ss2_wmin5000wmax500000n50000-0-s827183242c8053326.ukp;1;;999.00;3312;;
fmtu1_desktop_uc5;saw_n100000wmin10000-1-s464585179c8808515.ukp;1;;999.00;3312;;
fmtu1_desktop_uc5;saw_n50000wmin10000-16-s98298363c192212.ukp;1;0.063000001;0.25;5588;192287;
fmtu2_desktop_uc5;hi_n10000-17-s994385767c76272157.ukp;1;;999.00;3356;;
cpp-mtu1_desktop_uc5;hi_n50000-22-s434860255c25572452.ukp;1;;999.00;5916;;
fmtu2_desktop_uc5;saw_n50000wmin5000-21-s268466337c725245.ukp;1;0.003000000;0.16;4044;725679;
fmtu1_desktop_uc5;hi_n50000-18-s575639252c15725846.ukp;1;;999.00;3260;;
cpp-mtu2_desktop_uc5;hi_n10000-37-s252959003c73320246.ukp;1;;999.00;3572;;
fmtu2_desktop_uc5;hi_n20000-33-s126192256c21861015.ukp;1;;999.00;3336;;
cpp-mtu1_desktop_uc5;nsds2_n20000wmin50000-12-s774727805c1128316.ukp;1;0.605957;0.65;4332;1438367;
cpp-mtu2_desktop_uc5;hi_n10000-45-s19378828c34021658.ukp;1;;999.00;3572;;
fmtu2_desktop_uc5;hi_n20000-2-s324673955c91206311.ukp;1;;999.00;3280;;
fmtu2_desktop_uc5;hi_n5000-23-s605460062c1320121.ukp;1;;999.00;3244;;
cpp-mtu2_desktop_uc5;hi_n5000-31-s410031365c7557273.ukp;1;;999.00;3432;;
cpp-mtu1_desktop_uc5;hi_n50000-10-s199607488c2381940.ukp;1;;999.00;5956;;
fmtu2_desktop_uc5;hi_n20000-38-s527753500c52694607.ukp;1;;999.00;3284;;
fmtu2_desktop_uc5;saw_n50000wmin10000-1-s464585179c705770.ukp;1;;999.00;3240;;
cpp-mtu2_desktop_uc5;hi_n50000-46-s956143877c64815374.ukp;1;;999.00;4888;;
fmtu2_desktop_uc5;hi_n20000-8-s67683560c88368892.ukp;1;;999.00;3244;;
cpp-mtu1_desktop_uc5;saw_n50000wmin10000-3-s952877847c680785.ukp;1;0.00999722;0.15;5968;680988;
cpp-mtu1_desktop_uc5;hi_n50000-6-s398797429c71971621.ukp;1;;999.00;5960;;
cpp-mtu2_desktop_uc5;saw_n10000wmin10000-19-s778904058c659832.ukp;1;44.8154;44.85;3684;660090;
cpp-mtu2_desktop_uc5;saw_n100000wmin10000-10-s611338258c9166075.ukp;1;;999.00;7692;;
cpp-mtu1_desktop_uc5;nsds2_n20000wmin50000-8-s855531081c1465391.ukp;1;3.86205;3.93;4364;1878777;
cpp-mtu1_desktop_uc5;saw_n50000wmin5000-16-s98298363c428408.ukp;1;81.9609;82.11;6056;428747;
fmtu1_desktop_uc5;nsds2_n20000wmin20000-12-s774727805c1448211.ukp;1;0.324000001;0.43;3812;1814348;
fmtu1_desktop_uc5;hi_n50000-1-s594914841c53791268.ukp;1;;999.00;3324;;
fmtu2_desktop_uc5;hi_n50000-35-s889293313c39186005.ukp;1;;999.00;3368;;
cpp-mtu2_desktop_uc5;saw_n10000wmin10000-18-s152335818c316364.ukp;1;0.354853;0.40;3496;316486;
cpp-mtu2_desktop_uc5;saw_n50000wmin10000-6-s749783978c800337.ukp;1;0.00237684;0.11;4848;800656;
cpp-mtu2_desktop_uc5;hi_n20000-15-s750851024c17795343.ukp;1;;999.00;3936;;
fmtu1_desktop_uc5;hi_n10000-36-s442208726c59442236.ukp;1;0.005000000;0.06;3280;6022409912;
fmtu2_desktop_uc5;saw_n100000wmin10000-13-s664283699c7633902.ukp;1;34.576999664;34.89;8800;7637715;
cpp-mtu1_desktop_uc5;nsds2_n20000wmin50000-18-s364656855c1288769.ukp;1;0.477384;0.55;4240;1640815;
fmtu1_desktop_uc5;hi_n20000-23-s605460062c74433867.ukp;1;;999.00;3364;;
fmtu2_desktop_uc5;nsds2_n50000wmin20000-15-s161344243c1346441.ukp;1;28.437000275;28.65;5700;4047634;
cpp-mtu1_desktop_uc5;hi_n5000-25-s199811851c295352.ukp;1;0.0647658;0.09;3540;14841895;
cpp-mtu1_desktop_uc5;nsds2_n50000wmin20000-1-s720843886c1219357.ukp;1;3.01448;3.14;5920;3671202;
cpp-mtu2_desktop_uc5;sc_a-5n10000wmin10000-0-c6597874.ukp;1;;999.00;3664;;
cpp-mtu2_desktop_uc5;hi_n20000-5-s554525798c51592665.ukp;1;38.0547;38.10;3900;10396708836;
fmtu1_desktop_uc5;hi_n5000-44-s539788685c2014515.ukp;1;;999.00;3312;;
fmtu1_desktop_uc5;ss2_wmin10000wmax500000n10000-0-s827183242c8822301.ukp;1;0.003000000;0.07;3424;8822301;
cpp-mtu2_desktop_uc5;hi_n20000-49-s147981886c75371478.ukp;1;;999.00;3796;;
fmtu1_desktop_uc5;saw_n10000wmin10000-8-s400869978c911442.ukp;1;0.007000000;0.06;3356;911805;
fmtu1_desktop_uc5;saw_n50000wmin5000-48-s486168028c525828.ukp;1;0.479999989;0.64;5680;526246;
cpp-mtu1_desktop_uc5;saw_n50000wmin5000-33-s696446574c248157.ukp;1;190.596;190.74;5968;248401;
cpp-mtu2_desktop_uc5;hi_n50000-13-s204947608c65982738.ukp;1;;999.00;4848;;
fmtu2_desktop_uc5;ss2_wmin1000wmax1000000n50000-0-s827183242c7944993.ukp;1;;999.00;3308;;
cpp-mtu1_desktop_uc5;saw_n100000wmin10000-15-s274936000c2654477.ukp;1;0.368075;0.59;8512;2654741;
cpp-mtu1_desktop_uc5;ss2_wmin100000wmax500000n100000-0-s827183242c6445610.ukp;1;0.9443;1.16;8512;6445610;
cpp-mtu2_desktop_uc5;hi_n10000-31-s410031365c77889933.ukp;1;;999.00;3520;;
fmtu2_desktop_uc5;saw_n50000wmin5000-5-s52325605c394630.ukp;1;15.284999847;15.47;5452;394706;
cpp-mtu1_desktop_uc5;nsds2_n50000wmin50000-0-s155213243c1070927.ukp;1;3.82249;3.94;5908;3186893;
cpp-mtu1_desktop_uc5;sc_a-5n5000wmin10000-0-c530995.ukp;1;;999.00;3392;;
fmtu1_desktop_uc5;hi_n5000-30-s418727292c3528071.ukp;1;10.458000183;10.49;3320;183744431;
fmtu2_desktop_uc5;nsds2_n20000wmin50000-9-s684448574c1544915.ukp;1;2.038000107;2.11;3812;1986391;
cpp-mtu1_desktop_uc5;nsds2_n50000wmin50000-10-s260379653c1520334.ukp;1;1.81466;1.97;5872;4560690;
fmtu1_desktop_uc5;saw_n50000wmin5000-40-s721361676c550045.ukp;1;0.006000000;0.16;5672;550264;
cpp-mtu2_desktop_uc5;nsds2_n20000wmin50000-10-s260379653c1619961.ukp;1;0.0663889;0.11;4416;2069703;
fmtu1_desktop_uc5;hi_n20000-28-s882501307c67192471.ukp;1;;999.00;3360;;
fmtu2_desktop_uc5;hi_n10000-35-s889293313c70201258.ukp;1;;999.00;3356;;
cpp-mtu1_desktop_uc5;hi_n5000-23-s605460062c1320121.ukp;1;;999.00;3436;;
cpp-mtu2_desktop_uc5;saw_n50000wmin5000-43-s856799010c484598.ukp;1;11.5054;11.61;5356;484693;
fmtu2_desktop_uc5;nsds2_n20000wmin50000-14-s577520629c1757564.ukp;1;1.843999982;1.91;3832;2237483;
fmtu2_desktop_uc5;hi_n50000-37-s252959003c57280825.ukp;1;;999.00;3288;;
fmtu2_desktop_uc5;hi_n20000-46-s956143877c63853327.ukp;1;;999.00;3332;;
cpp-mtu1_desktop_uc5;saw_n50000wmin5000-21-s268466337c725245.ukp;1;0.00531765;0.15;5860;725679;
fmtu1_desktop_uc5;nsds2_n20000wmin20000-2-s463795034c1768693.ukp;1;0.128000006;0.22;3792;2226285;
cpp-mtu1_desktop_uc5;nsds2_n20000wmin50000-13-s273864349c1640559.ukp;1;0.173939;0.25;4320;2106506;
cpp-mtu2_desktop_uc5;nsds2_n50000wmin20000-13-s273864349c1759284.ukp;1;0.011202;0.16;5764;5309486;
fmtu2_desktop_uc5;saw_n50000wmin5000-14-s133254276c178769.ukp;1;7.631000042;7.79;5524;178838;
fmtu1_desktop_uc5;ss2_wmin50000wmax1000000n10000-0-s827183242c6721457.ukp;1;0.007000000;0.04;3280;6721457;
cpp-mtu2_desktop_uc5;saw_n100000wmin10000-9-s840509679c6574795.ukp;1;0.940311;1.19;6508;6578079;
fmtu2_desktop_uc5;nsds2_n50000wmin50000-15-s161344243c1096797.ukp;1;22.027999878;22.19;5760;3240873;
cpp-mtu1_desktop_uc5;saw_n50000wmin5000-22-s423227202c349227.ukp;1;22.4208;22.53;5880;349433;
cpp-mtu2_desktop_uc5;saw_n100000wmin10000-15-s274936000c2654477.ukp;1;0.0134009;0.24;6616;2654741;
fmtu1_desktop_uc5;hi_n10000-30-s418727292c56574382.ukp;1;;999.00;3276;;
fmtu2_desktop_uc5;ss2_wmin5000wmax500000n100000-0-s827183242c6193291.ukp;1;;999.00;3352;;
fmtu2_desktop_uc5;hi_n10000-38-s527753500c90683806.ukp;1;;999.00;3244;;
cpp-mtu2_desktop_uc5;sc_a-5n10000wmin50000-1-c6479362.ukp;1;0.947103;0.97;3464;6478822;
