w;p;fpph;fppd
59788;990264097328;0x1.cd20adf460da6p-1;0.90064
59736;989434999932;0x1.ccbdd7e8f8808p-1;0.899886
59682;988701043751;0x1.cc6659584e992p-1;0.899218
59644;987838262119;0x1.cbff7f56cefaep-1;0.898434
59636;987425698159;0x1.cbce50e2dfc78p-1;0.898058
59632;987592620564;0x1.cbe236f429db6p-1;0.89821
59582;986649272831;0x1.cb71c243fefaap-1;0.897352
59476;984999291548;0x1.caad10d5386fp-1;0.895852
59464;984656271055;0x1.ca842cad9f518p-1;0.89554
59394;983526617062;0x1.c9fd825fcc404p-1;0.894512
59368;983218221569;0x1.c9d8bee403ab2p-1;0.894232
59366;983110186928;0x1.c9cbddef60fdp-1;0.894134
59360;982915789280;0x1.c9b4b163c0c05p-1;0.893957
59344;982613066486;0x1.c9909b05ed753p-1;0.893681
59342;982504870741;0x1.c983b526ab549p-1;0.893583
59260;981376663064;0x1.c8fd36fc314c5p-1;0.892557
59256;981063032000;0x1.c8d7d3b981a4ap-1;0.892272
59224;980767102689;0x1.c8b48cadc237fp-1;0.892002
59122;978914090887;0x1.c7d7a73f0f9e6p-1;0.890317
59120;978981056330;0x1.c7dfa2de95993p-1;0.890378
59112;978914090887;0x1.c7d7a73f0f9e6p-1;0.890317
59104;978723800193;0x1.c7c0f80902e76p-1;0.890144
59028;977395822066;0x1.c722a95be5927p-1;0.888936
58984;976629768575;0x1.c6c75742fe97p-1;0.88824
58976;976629768575;0x1.c6c75742fe97p-1;0.88824
58960;976467245747;0x1.c6b3f77566d3dp-1;0.888092
58954;976467245747;0x1.c6b3f77566d3dp-1;0.888092
58898;975457261705;0x1.c63b9131122cfp-1;0.887173
58824;973857638406;0x1.c57ce0900d587p-1;0.885718
58792;973402857967;0x1.c546a9c3de232p-1;0.885305
58740;972565260363;0x1.c4e2d0509735ep-1;0.884543
58672;971627171387;0x1.c472fc1c7694fp-1;0.88369
58656;971419681972;0x1.c45a400969d72p-1;0.883501
58642;971285910647;0x1.c44a4da8efd73p-1;0.883379
58578;969853595981;0x1.c39f8ee29ae1p-1;0.882077
