num_iter;knapsack_time;sort_time
1;0x1.4cbacc4cd2ca1p-10;0x1.386b45373087ap-13
2;0x1.d4fb19914b976p-11;0x1.a8ded356f6ff2p-14
3;0x1.367076d7f00dfp-10;0x1.9f958fa75b00ep-14
4;0x1.0d070230647f6p-10;0x1.902b8f5880a84p-14
5;0x1.ef26c772a3693p-10;0x1.8611fd5885d31p-14
6;0x1.d22ad20817731p-10;0x1.8cc3ae7c3af53p-14
7;0x1.5a31d847ddc2cp-10;0x1.76d0ca65f2d6bp-14
8;0x1.5cc7118823e19p-10;0x1.711a5ab060ec9p-14
9;0x1.dcfadc1888fcbp-11;0x1.63e749ea73959p-14
10;0x1.c182ca52d2936p-11;0x1.62b20d1420da8p-14
11;0x1.854f1b01745a8p-11;0x1.60f35fde8ce8bp-14
12;0x1.4637581729789p-11;0x1.4abcd67962b14p-14
13;0x1.1c4bd4d97a74p-11;0x1.49b39fa192d9bp-14
14;0x1.0cb522bfa6265p-11;0x1.4b32f30b3ebc4p-14
15;0x1.5849f6a1bb03dp-11;0x1.3f4bab8b44d35p-14
16;0x1.61320dddfde66p-11;0x1.3c3dfc6d81ec3p-14
17;0x1.4f3c4aab6c4c5p-11;0x1.3d23c44cc2f3ap-14
18;0x1.57c3e140cd24bp-11;0x1.33a3bdd732f9ap-14
19;0x1.ab2f4339909a7p-12;0x1.307e6f6910dd1p-14
20;0x1.c916e85775656p-11;0x1.3926a3690c6f3p-14
21;0x1.7fd0c5aac48f4p-12;0x1.2934459baf624p-14
22;0x1.2e5e5107f42fp-12;0x1.23f3f277f9833p-14
23;0x1.3a5975c5b284ep-11;0x1.1ec8060267524p-14
24;0x1.07d6857fa8a42p-11;0x1.30dbd9c9cf304p-14
25;0x1.24ad91fc9fd6dp-11;0x1.20d4026d8ff2dp-14
26;0x1.2eae2d134d539p-11;0x1.23798a63236e7p-14
27;0x1.b53067c09d585p-12;0x1.1f539c23258dcp-14
28;0x1.99780baa582dcp-12;0x1.11b63e738bc68p-14
29;0x1.576ce82485e02p-12;0x1.1d231ddeaf9abp-14
30;0x1.8120da73b207p-12;0x1.02f80a9bc2f23p-14
31;0x1.624af8ccaff18p-12;0x1.06ca3861b5159p-14
32;0x1.93e7756701b93p-12;0x1.03c52049e641dp-14
33;0x1.7488f1894d4ecp-12;0x1.0c973486e7b2ap-14
34;0x1.814042a1766ep-12;0x1.09227121b3e28p-14
35;0x1.086edbcd3d2c8p-12;0x1.009fd1dbc4255p-14
36;0x1.502e8dff54p-12;0x1.f1e7e455549b3p-15
37;0x1.14a32dca9c23ap-13;0x1.fc9e3a81f5d2cp-15
38;0x1.ffc0d9be3ba94p-13;0x1.01f31f46ed246p-14
39;0x1.f7b8a28d2200dp-13;0x1.ee43e24f62604p-15
40;0x1.cc19b851af63fp-13;0x1.eeda353791b41p-15
41;0x1.279aa3afc8044p-12;0x1.e4f42d5b4f537p-15
42;0x1.0ca8ec032f1abp-12;0x1.da3bb16d31171p-15
43;0x1.297179a61a6cap-13;0x1.f06558496d316p-15
44;0x1.cf0e2bcdf5521p-14;0x1.ea29c3b7941a4p-15
45;0x1.49c88fc015c9p-12;0x1.d9ce2be1491f7p-15
46;0x1.0b72e1044d7dcp-12;0x1.deff76ba93dc9p-15
47;0x1.22c9b7214781p-12;0x1.e283426a32cebp-15
48;0x1.0a52d904ad52ap-12;0x1.d35f0d2bb793dp-15
49;0x1.e0e4cb8af225cp-13;0x1.cb201334a9ef9p-15
50;0x1.000d85be5f3a9p-12;0x1.c0ceab8dfc9c3p-15
51;0x1.3aed197c0592ap-12;0x1.d82b697f0e6ccp-15
52;0x1.ffa759648f0f9p-12;0x1.cdb57fff13c6ep-15
53;0x1.d63a45068088ep-12;0x1.ce9d6d9fd1d33p-15
54;0x1.364b26d613d99p-12;0x1.b74fb7f92b24ap-15
55;0x1.a2c59adcee35bp-14;0x1.c7b60c96e737bp-15
56;0x1.d887378eaefc6p-13;0x1.b47e2a0514c56p-15
57;0x1.c1d3522aa2c97p-12;0x1.c072540dfccb7p-15
58;0x1.5cbe695423e6p-11;0x1.b9e2ff0217f7p-15
59;0x1.36a86edaba5c7p-11;0x1.ac0ff16d48b66p-15
60;0x1.3975057f5fa06p-11;0x1.a944d4bda965bp-15
61;0x1.2265fdd829ef8p-11;0x1.a1eba2a5dcc8fp-15
62;0x1.0384f8556f50dp-11;0x1.a209b33ab30cep-15
63;0x1.598b47d86cfa4p-11;0x1.9daadc73442b9p-15
64;0x1.2d1401b706b44p-11;0x1.994594675e3bbp-15
65;0x1.12accd4a6d83ep-11;0x1.96d6cf37bebbcp-15
66;0x1.f2dd3def6005ep-12;0x1.941223cc9679bp-15
