algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
mgreendp;128_16_std_breqd-n2048-s0.ukp;1;0.0288764;0.04;7256;4119230;
mgreendp;128_16_std_breqd-n2048-s1.ukp;1;0.000733632;0.01;5464;4072260;
mgreendp;128_16_std_breqd-n2048-s2.ukp;1;0.0278718;0.04;7200;4194304;
mgreendp;128_16_std_breqd-n2048-s3.ukp;1;0.000590637;0.01;5368;4100907;
mgreendp;128_16_std_breqd-n2048-s4.ukp;1;0.000613359;0.01;5400;4096692;
mgreendp;128_16_std_breqd-n2048-s5.ukp;1;0.000587765;0.01;5356;4149436;
mgreendp;128_16_std_breqd-n2048-s6.ukp;1;0.000872667;0.01;5364;4108391;
mgreendp;128_16_std_breqd-n2048-s7.ukp;1;0.00074881;0.01;5376;4106084;
mgreendp;128_16_std_breqd-n2048-s8.ukp;1;0.00059183;0.01;5356;4159549;
mgreendp;128_16_std_breqd-n2048-s9.ukp;1;0.000604376;0.01;5400;4092652;
mgreendp;128_16_std_breqd-n4096-s0.ukp;1;0.00203194;0.03;7448;8229768;
mgreendp;128_16_std_breqd-n4096-s1.ukp;1;0.00118645;0.02;7508;8216005;
mgreendp;128_16_std_breqd-n4096-s2.ukp;1;0.136983;0.15;11604;8388608;
mgreendp;128_16_std_breqd-n4096-s3.ukp;1;0.000864946;0.01;7560;8257541;
mgreendp;128_16_std_breqd-n4096-s4.ukp;1;0.00295491;0.04;7544;8252518;
mgreendp;128_16_std_breqd-n4096-s5.ukp;1;0.359805;0.37;11412;8158153;
mgreendp;128_16_std_breqd-n4096-s6.ukp;1;0.000915166;0.01;7556;8267105;
mgreendp;128_16_std_breqd-n4096-s7.ukp;1;0.000868294;0.02;7508;8263835;
mgreendp;128_16_std_breqd-n4096-s8.ukp;1;0.000858538;0.02;7492;8339457;
mgreendp;128_16_std_breqd-n4096-s9.ukp;1;0.00121374;0.01;7496;8245785;
mgreendp;128_16_std_breqd-n8192-s0.ukp;1;0.00287474;0.02;11768;16558632;
mgreendp;128_16_std_breqd-n8192-s1.ukp;1;0.00167921;0.03;11800;16553773;
mgreendp;128_16_std_breqd-n8192-s2.ukp;1;0.189089;0.21;19892;16777216;
mgreendp;128_16_std_breqd-n8192-s3.ukp;1;0.00156161;0.02;11716;16737084;
mgreendp;128_16_std_breqd-n8192-s4.ukp;1;0.00262014;0.02;11764;16572585;
mgreendp;128_16_std_breqd-n8192-s5.ukp;1;0.00260818;0.02;11768;16452020;
mgreendp;128_16_std_breqd-n8192-s6.ukp;1;0.00268914;0.02;11844;16267002;
mgreendp;128_16_std_breqd-n8192-s7.ukp;1;0.0014733;0.02;11700;16596252;
mgreendp;128_16_std_breqd-n8192-s8.ukp;1;0.00170844;0.02;11744;16711681;
mgreendp;128_16_std_breqd-n8192-s9.ukp;1;0.00146774;0.02;11628;16687478;
mgreendp;128_16_std_breqd-n16384-s0.ukp;1;0.00316333;0.04;20036;33195482;
mgreendp;128_16_std_breqd-n16384-s1.ukp;1;0.0030042;0.04;20112;33255905;
mgreendp;128_16_std_breqd-n16384-s2.ukp;1;0.00525856;0.05;20188;32925008;
mgreendp;128_16_std_breqd-n16384-s3.ukp;1;0.00305897;0.04;19976;33221878;
mgreendp;128_16_std_breqd-n16384-s4.ukp;1;0.00304535;0.04;20032;33158502;
mgreendp;128_16_std_breqd-n16384-s5.ukp;1;0.0050248;0.04;20240;33094527;
mgreendp;128_16_std_breqd-n16384-s6.ukp;1;0.0031722;0.04;20012;33357825;
mgreendp;128_16_std_breqd-n16384-s7.ukp;1;0.00521122;0.04;20316;33334641;
mgreendp;128_16_std_breqd-n16384-s8.ukp;1;0.003117;0.04;20024;33381041;
mgreendp;128_16_std_breqd-n16384-s9.ukp;1;0.00512662;0.04;20120;33270666;
mgreendp;128_16_std_breqd-n32768-s0.ukp;1;26.7221;26.79;69900;66674161;
mgreendp;128_16_std_breqd-n32768-s1.ukp;1;0.00614105;0.08;36780;66694380;
mgreendp;128_16_std_breqd-n32768-s2.ukp;1;0.00952448;0.07;37120;66691799;
mgreendp;128_16_std_breqd-n32768-s3.ukp;1;0.0096398;0.07;37064;66442146;
mgreendp;128_16_std_breqd-n32768-s4.ukp;1;0.00960847;0.08;37204;66689235;
mgreendp;128_16_std_breqd-n32768-s5.ukp;1;0.00615471;0.07;36856;66560556;
mgreendp;128_16_std_breqd-n32768-s6.ukp;1;0.00586323;0.08;37080;66935473;
mgreendp;128_16_std_breqd-n32768-s7.ukp;1;0.00609604;0.07;36856;66917796;
mgreendp;128_16_std_breqd-n32768-s8.ukp;1;0.00610764;0.08;36940;66881841;
mgreendp;128_16_std_breqd-n32768-s9.ukp;1;0.00970884;0.07;37072;66707552;
mgreendp;128_16_std_breqd-n65536-s0.ukp;1;0.0124432;0.15;70600;133665514;
mgreendp;128_16_std_breqd-n65536-s1.ukp;1;0.0123534;0.15;70560;133650171;
mgreendp;128_16_std_breqd-n65536-s2.ukp;1;0.0187322;0.16;71144;133450653;
mgreendp;128_16_std_breqd-n65536-s3.ukp;1;0.0188002;0.15;71092;133685318;
mgreendp;128_16_std_breqd-n65536-s4.ukp;1;0.0187957;0.15;71152;133393960;
mgreendp;128_16_std_breqd-n65536-s5.ukp;1;0.018715;0.16;71232;133300231;
mgreendp;128_16_std_breqd-n65536-s6.ukp;1;0.0124797;0.15;70624;134152193;
mgreendp;128_16_std_breqd-n65536-s7.ukp;1;0.0187374;0.16;71176;133404453;
mgreendp;128_16_std_breqd-n65536-s8.ukp;1;0.0124776;0.15;70548;133841253;
mgreendp;128_16_std_breqd-n65536-s9.ukp;1;0.0189157;0.17;71088;133745149;
mgreendp;128_16_std_breqd-n131072-s0.ukp;1;0.0253692;0.30;138320;268128065;
mgreendp;128_16_std_breqd-n131072-s1.ukp;1;0.0375099;0.31;139460;266572589;
mgreendp;128_16_std_breqd-n131072-s2.ukp;1;0.0375456;0.31;139376;266500217;
mgreendp;128_16_std_breqd-n131072-s3.ukp;1;0.0374143;0.31;139072;266811548;
mgreendp;128_16_std_breqd-n131072-s4.ukp;1;0.038201;0.31;139440;267277874;
mgreendp;128_16_std_breqd-n131072-s5.ukp;1;0.0432682;0.31;139128;267643586;
mgreendp;128_16_std_breqd-n131072-s6.ukp;1;0.0374161;0.32;139528;266584149;
mgreendp;128_16_std_breqd-n131072-s7.ukp;1;0.0253762;0.30;138352;267953867;
mgreendp;128_16_std_breqd-n131072-s8.ukp;1;0.0252366;0.30;138320;267972047;
mgreendp;128_16_std_breqd-n131072-s9.ukp;1;0.0253436;0.30;138280;267632809;
mgreendp;128_16_std_breqd-n262144-s0.ukp;1;0.0751868;0.63;275572;536153004;
mgreendp;128_16_std_breqd-n262144-s1.ukp;1;0.0756265;0.62;275556;534585602;
mgreendp;128_16_std_breqd-n262144-s2.ukp;1;0.0515548;0.60;273376;535459225;
mgreendp;128_16_std_breqd-n262144-s3.ukp;1;0.0753899;0.62;275516;536052369;
mgreendp;128_16_std_breqd-n262144-s4.ukp;1;0.0758405;0.63;275488;535239087;
mgreendp;128_16_std_breqd-n262144-s5.ukp;1;0.0756044;0.62;275492;535035910;
mgreendp;128_16_std_breqd-n262144-s6.ukp;1;0.0752579;0.62;275484;534848837;
