num_iter;knapsack_time;sort_time
 1; 0x1.7f14de0889667p-12; 0x1.60388b1d10425p-15
 2; 0x1.68b2d8153b8cbp-12; 0x1.43ef3a82545p-15
 3; 0x1.db0fc1d02ab68p-12; 0x1.3e3d164fbc6fap-15
 4; 0x1.b9e4e00b655b4p-12; 0x1.467e36084718cp-15
 5; 0x1.94f429993cb8bp-11; 0x1.3de955d5b0b25p-15
 6; 0x1.80ec5fcb52e06p-11; 0x1.43b31958a7c81p-15
 7; 0x1.2f7c77fe46f5fp-11; 0x1.44f9843ae2aap-15
 8; 0x1.2e54ebd97139cp-11; 0x1.41ff28ea84ee9p-15
 9; 0x1.b805730f1edf7p-12; 0x1.43a85c9136afdp-15
 10; 0x1.9f06377401fcep-12; 0x1.40830e2314934p-15
 11; 0x1.6b219d44db0c9p-12; 0x1.42be492efb9eap-15
 12; 0x1.3e7e5124f1e32p-12; 0x1.3f67965e9e127p-15
 13; 0x1.14d001f1ade8fp-12; 0x1.4112efc6ccd89p-15
 14; 0x1.05decd668be16p-12; 0x1.43972e854e89p-15
 15; 0x1.6164a77d0fa8cp-12; 0x1.43b0f3972ac34p-15
 16; 0x1.6a6a012599ed8p-12; 0x1.4582f49a23e0cp-15
 17; 0x1.70901c2890d4p-12; 0x1.5ee7637364482p-15
 18; 0x1.9199b4b64463fp-12; 0x1.63efe0f067a9p-15
 19; 0x1.f3297a4436324p-13; 0x1.5d427b4fac909p-15
 20; 0x1.0afa59f8c4cd5p-11; 0x1.67f8d17c4dc82p-15
 21; 0x1.c884be96284afp-13; 0x1.5c7f0f883bd6dp-15
 22; 0x1.7204f782fb3efp-13; 0x1.672aa8ed6bf61p-15
 23; 0x1.80a5e8ee7cb12p-12; 0x1.5d82e7fc53224p-15
 24; 0x1.42b8eacb43128p-12; 0x1.7a64b140bb6d4p-15
 25; 0x1.662a091b9031fp-12; 0x1.5edecc6d7034bp-15
 26; 0x1.82f296be7b83ep-12; 0x1.8f03350b1c0a4p-15
 27; 0x1.180526d2ca094p-12; 0x1.6d97a1e1807cdp-15
 28; 0x1.0601297e5c2fp-12; 0x1.5ec2e19a16f5ap-15
