algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
cpp-mtu1;hi_n20000-10-s199607488c47897810.ukp;1;;600.00;4268;;
mgreendp1;hi_n5000-4-s182130978c7957284.ukp;1;;600.28;7809244;;
mgreendp1;sc_a5n5000wmin15000-0-c262128.ukp;1;1.96211;2.00;13136;262213;
cpp-mtu2;hi_n20000-19-s808826180c78733090.ukp;1;;600.00;3752;;
mgreendp1;saw_n50000wmin5000-13-s664283699c547316.ukp;1;19.736;19.83;25864;547860;
cpp-mtu1;ss2_wmin1000wmax1000000n100000-0-s827183242c7949644.ukp;1;0.0220312;0.21;8484;7949644;
cpp-mtu2;saw_n100000wmin10000-15-s274936000c2654477.ukp;1;0.0120844;0.20;6560;2654741;
cpp-mtu2;saw_n50000wmin10000-1-s464585179c705770.ukp;1;;600.00;4752;;
mgreendp1;hi_n20000-36-s442208726c47872978.ukp;1;;0.15;3900;;
mgreendp1;nsds2_n50000wmin20000-8-s855531081c1791319.ukp;1;;600.00;405088;;
cpp-mtu1;saw_n50000wmin5000-29-s865843378c1049981.ukp;1;;600.00;5932;;
cpp-mtu1;ss2_wmin100000wmax1000000n10000-0-s827183242c8590109.ukp;1;0.0077896;0.03;3764;8590109;
cpp-mtu2;saw_n100000wmin10000-4-s697219038c8578893.ukp;1;;600.00;6944;;
cpp-mtu1;hi_n10000-49-s147981886c59878474.ukp;1;;600.00;3696;;
cpp-mtu1;saw_n10000wmin10000-7-s930328241c716700.ukp;1;0.00203515;0.03;3644;716841;
cpp-mtu2;hi_n5000-28-s882501307c3244282.ukp;1;;600.00;3204;;
mgreendp1;saw_n50000wmin5000-7-s930328241c581344.ukp;1;18.3677;18.46;28460;581574;
cpp-mtu1;saw_n50000wmin5000-26-s893962632c629772.ukp;1;176.063;176.16;5828;630146;
cpp-mtu1;saw_n50000wmin5000-34-s855474452c407194.ukp;1;0.0533703;0.15;5888;407436;
cpp-mtu1;hi_n20000-35-s889293313c63466318.ukp;1;;600.00;4336;;
cpp-mtu1;hi_n50000-10-s199607488c2381940.ukp;1;;600.00;5840;;
cpp-mtu2;sc_a-5n5000wmin15000-0-c922756.ukp;1;;600.00;3388;;
cpp-mtu1;hi_n10000-9-s915258292c6311802.ukp;1;;600.00;3736;;
mgreendp1;nsds2_n20000wmin50000-14-s577520629c1757564.ukp;1;183.226;183.27;136860;2237483;
cpp-mtu1;saw_n10000wmin10000-18-s152335818c316364.ukp;1;0.107247;0.13;3732;316486;
cpp-mtu2;nsds2_n20000wmin20000-2-s463795034c1768693.ukp;1;0.000832137;0.04;3832;2226285;
mgreendp1;hi_n10000-13-s204947608c51012814.ukp;1;;0.04;3556;;
cpp-mtu2;hi_n5000-33-s126192256c6034433.ukp;1;;600.00;3444;;
cpp-mtu2;nsds2_n50000wmin50000-7-s451986827c1235104.ukp;1;39.8557;39.96;7204;3679672;
mgreendp1;saw_n50000wmin5000-20-s726804303c380063.ukp;1;18.6571;18.75;22264;380365;
cpp-mtu2;ss2_wmin1000wmax1000000n20000-0-s827183242c7601647.ukp;1;0.0029348;0.05;4204;7601647;
mgreendp1;saw_n50000wmin5000-19-s778904058c399455.ukp;1;18.6817;18.78;22308;399770;
cpp-mtu1;saw_n50000wmin10000-6-s749783978c800337.ukp;1;0.00466985;0.10;5808;800656;
cpp-mtu1;nsds2_n20000wmin20000-17-s414892754c1568401.ukp;1;0.0626854;0.10;4228;1969004;
cpp-mtu2;hi_n50000-43-s325989053c20206604.ukp;1;;600.00;4780;;
mgreendp1;nsds2_n20000wmin50000-18-s364656855c1288769.ukp;1;177.036;177.07;162784;1640815;
cpp-mtu2;saw_n50000wmin10000-19-s778904058c437494.ukp;1;;600.00;5704;;
mgreendp1;saw_n50000wmin5000-35-s491254116c460361.ukp;1;17.7867;17.88;23772;460544;
mgreendp1;sc_a5n10000wmin10000-1-c8848039.ukp;1;2.89685;2.92;226424;8852459;
cpp-mtu1;ss2_wmin10000wmax500000n10000-0-s827183242c8822301.ukp;1;0.00117192;0.02;3632;8822301;
mgreendp1;hi_n10000-22-s434860255c92425089.ukp;1;;0.04;3560;;
cpp-mtu2;hi_n20000-40-s534548386c12675341.ukp;1;;600.00;3900;;
cpp-mtu2;sc_a5n5000wmin10000-1-c233254.ukp;1;;600.00;3412;;
cpp-mtu2;hi_n20000-8-s67683560c88368892.ukp;1;;600.00;3756;;
cpp-mtu1;nsds2_n20000wmin50000-0-s155213243c1302296.ukp;1;0.301061;0.34;4268;1669053;
cpp-mtu2;ss2_wmin50000wmax1000000n100000-0-s827183242c9151889.ukp;1;0.00423084;0.19;8524;9151889;
cpp-mtu2;nsds2_n50000wmin50000-17-s414892754c1268196.ukp;1;31.9936;32.10;7084;3788329;
cpp-mtu2;hi_n50000-35-s889293313c39186005.ukp;1;;600.00;4904;;
cpp-mtu1;hi_n10000-39-s713413380c48918775.ukp;1;;600.00;3764;;
cpp-mtu1;ss2_wmin10000wmax500000n20000-0-s827183242c7923045.ukp;1;0.00417997;0.05;4228;7923045;
mgreendp1;hi_n20000-0-s731232778c13130598.ukp;1;;0.06;3876;;
cpp-mtu1;saw_n50000wmin10000-18-s152335818c355064.ukp;1;59.4406;59.54;5876;355202;
cpp-mtu1;saw_n50000wmin5000-21-s268466337c725245.ukp;1;0.00423642;0.09;5760;725679;
cpp-mtu2;hi_n20000-30-s418727292c82162365.ukp;1;;600.00;3784;;
mgreendp1;hi_n20000-49-s147981886c75371478.ukp;1;;0.06;3928;;
cpp-mtu1;hi_n5000-26-s90924128c4784946.ukp;1;;600.00;3504;;
cpp-mtu1;saw_n50000wmin10000-15-s274936000c647396.ukp;1;0.0225215;0.12;5704;647459;
mgreendp1;hi_n5000-3-s300958364c5172202.ukp;1;484.581;484.61;7807264;269240887;
mgreendp1;saw_n100000wmin10000-16-s98298363c8441164.ukp;1;244.097;244.31;235984;8444538;
cpp-mtu2;hi_n10000-38-s527753500c90683806.ukp;1;;600.00;3496;;
cpp-mtu1;hi_n20000-25-s199811851c12031782.ukp;1;;600.00;4284;;
cpp-mtu1;saw_n10000wmin10000-6-s749783978c120801.ukp;1;0.00297911;0.02;3668;120847;
cpp-mtu1;nsds2_n50000wmin20000-0-s155213243c1921419.ukp;1;;600.00;5912;;
mgreendp1;hi_n20000-48-s888315654c53293071.ukp;1;;0.15;3944;;
mgreendp1;sc_a5n5000wmin50000-0-c415081.ukp;1;6.68653;6.70;18892;415121;
cpp-mtu1;saw_n50000wmin5000-22-s423227202c349227.ukp;1;18.8212;18.92;5848;349433;
cpp-mtu1;hi_n20000-33-s126192256c21861015.ukp;1;;600.00;4284;;
cpp-mtu2;hi_n50000-21-s669712253c19149666.ukp;1;;600.00;4760;;
cpp-mtu1;nsds2_n20000wmin50000-7-s451986827c1701716.ukp;1;54.3064;54.34;4244;2192650;
cpp-mtu2;saw_n100000wmin10000-9-s840509679c6574795.ukp;1;0.795713;0.99;6420;6578079;
mgreendp1;hi_n10000-25-s199811851c76710035.ukp;1;;0.04;3500;;
cpp-mtu1;hi_n5000-32-s674362184c9214816.ukp;1;0.616608;0.63;3588;479771944;
cpp-mtu2;hi_n10000-30-s418727292c56574382.ukp;1;;600.00;3476;;
cpp-mtu1;hi_n20000-21-s669712253c80951944.ukp;1;;600.00;4228;;
cpp-mtu2;saw_n50000wmin5000-20-s726804303c380063.ukp;1;0.0021334;0.10;4784;380366;
cpp-mtu2;saw_n50000wmin10000-0-s985850175c337971.ukp;1;1.28497;1.37;5888;338002;
cpp-mtu2;nsds2_n50000wmin20000-6-s351997719c1668209.ukp;1;0.100977;0.20;5928;5036221;
cpp-mtu2;hi_n20000-45-s19378828c13553251.ukp;1;;600.00;3896;;
cpp-mtu1;hi_n10000-4-s182130978c48752651.ukp;1;;600.00;3816;;
cpp-mtu2;saw_n10000wmin10000-18-s152335818c316364.ukp;1;0.280208;0.30;3468;316486;
mgreendp1;hi_n50000-44-s539788685c74810341.ukp;1;;0.12;4892;;
mgreendp1;hi_n50000-48-s888315654c8772196.ukp;1;;0.12;4748;;
mgreendp1;saw_n10000wmin10000-7-s930328241c716700.ukp;1;1.32919;1.35;28744;716841;
cpp-mtu2;ss2_wmin50000wmax500000n20000-0-s827183242c9608074.ukp;1;0.0122966;0.06;4260;9608074;
mgreendp1;nsds2_n20000wmin20000-6-s351997719c1967033.ukp;1;132.091;132.13;172348;2497802;
mgreendp1;hi_n10000-21-s669712253c96279181.ukp;1;;0.04;3640;;
mgreendp1;nsds2_n20000wmin20000-9-s684448574c1154184.ukp;1;164.361;164.40;105664;1450131;
mgreendp1;hi_n5000-7-s586106970c7129097.ukp;1;;600.25;7821068;;
mgreendp1;hi_n10000-3-s300958364c65617717.ukp;1;;0.14;3544;;
mgreendp1;saw_n50000wmin10000-13-s664283699c1044103.ukp;1;19.605;19.70;45052;1044621;
cpp-mtu1;nsds2_n20000wmin50000-9-s684448574c1544915.ukp;1;0.109581;0.15;4212;1986391;
cpp-mtu2;hi_n20000-26-s90924128c44036015.ukp;1;;600.00;3808;;
cpp-mtu1;hi_n50000-23-s605460062c35373194.ukp;1;;600.00;5984;;
cpp-mtu1;nsds2_n20000wmin50000-1-s720843886c1817994.ukp;1;0.0382369;0.08;4300;2335425;
cpp-mtu2;ss2_wmin100000wmax500000n50000-0-s827183242c9460010.ukp;1;0.197471;0.30;5884;9460010;
cpp-mtu2;hi_n20000-18-s575639252c60094940.ukp;1;0.000538983;0.05;3924;12111929286;
cpp-mtu2;saw_n50000wmin10000-8-s400869978c521098.ukp;1;0.00329939;0.10;4824;521305;
cpp-mtu2;nsds2_n20000wmin50000-9-s684448574c1544915.ukp;1;0.668629;0.70;4364;1986391;
mgreendp1;ss2_wmin1000wmax500000n50000-0-s827183242c5970156.ukp;1;;600.00;158516;;
mgreendp1;hi_n5000-18-s575639252c2452692.ukp;1;310.193;310.21;7770412;127509629;
cpp-mtu1;nsds2_n50000wmin50000-14-s577520629c1811012.ukp;1;0.376824;0.48;5800;5490122;
mgreendp1;hi_n5000-17-s994385767c5488791.ukp;1;532.494;532.52;7823012;285770977;
cpp-mtu2;hi_n5000-23-s605460062c1320121.ukp;1;;600.00;3280;;
mgreendp1;saw_n50000wmin5000-22-s423227202c349227.ukp;1;17.8656;17.98;21436;349433;
mgreendp1;hi_n10000-10-s199607488c69682757.ukp;1;;0.13;3572;;
cpp-mtu2;hi_n5000-22-s434860255c760592.ukp;1;;600.00;3472;;
cpp-mtu1;nsds2_n50000wmin50000-5-s999292130c1082699.ukp;1;4.13893;4.24;5816;3208928;
cpp-mtu2;saw_n10000wmin10000-12-s1910782c979698.ukp;1;1.3182;1.34;3512;979987;
cpp-mtu1;ss2_wmin5000wmax500000n10000-0-s827183242c5167895.ukp;1;0.00343502;0.03;3808;5167895;
cpp-mtu2;hi_n10000-19-s808826180c61166829.ukp;1;;600.00;3528;;
mgreendp1;hi_n50000-30-s418727292c90211289.ukp;1;;0.12;4752;;
cpp-mtu2;hi_n50000-15-s750851024c5684250.ukp;1;;600.00;4864;;
mgreendp1;ss2_wmin10000wmax500000n20000-0-s827183242c7923045.ukp;1;;600.00;205328;;
cpp-mtu2;saw_n50000wmin5000-2-s272488647c443045.ukp;1;290.034;290.13;5684;443308;
cpp-mtu2;sc_a5n10000wmin10000-1-c8848039.ukp;1;;600.00;3488;;
cpp-mtu1;ss2_wmin10000wmax1000000n50000-0-s827183242c6373385.ukp;1;0.0217516;0.12;5876;6373385;
cpp-mtu2;hi_n50000-40-s534548386c55171512.ukp;1;;600.00;4796;;
cpp-mtu1;hi_n20000-23-s605460062c74433867.ukp;1;;600.00;4304;;
