algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
cpp-mtu1;hi_n10000-0-s731232778c45667812.ukp;1;;1800.00;3676;;
cpp-mtu2;hi_n10000-0-s731232778c45667812.ukp;1;;1800.00;3536;;
cpp-mtu1;hi_n10000-10-s199607488c69682757.ukp;1;3.02865;3.06;3784;7059536142;
cpp-mtu2;hi_n10000-10-s199607488c69682757.ukp;1;0.0636008;0.09;3412;7059536142;
cpp-mtu1;hi_n10000-11-s895832870c87027021.ukp;1;;1800.00;3700;;
cpp-mtu2;hi_n10000-11-s895832870c87027021.ukp;1;;1800.00;3488;;
cpp-mtu1;hi_n10000-12-s420935988c69330407.ukp;1;;1800.00;3688;;
cpp-mtu2;hi_n10000-12-s420935988c69330407.ukp;1;;1800.00;3376;;
cpp-mtu1;hi_n10000-13-s204947608c51012814.ukp;1;;1800.00;3744;;
cpp-mtu2;hi_n10000-13-s204947608c51012814.ukp;1;;1800.00;3456;;
cpp-mtu1;hi_n10000-14-s318339058c72410003.ukp;1;0.00118764;0.03;3740;7336849032;
cpp-mtu2;hi_n10000-14-s318339058c72410003.ukp;1;0.000881374;0.03;3428;7336849032;
cpp-mtu1;hi_n10000-15-s750851024c76269221.ukp;1;;1800.00;3652;;
cpp-mtu2;hi_n10000-15-s750851024c76269221.ukp;1;;1800.00;3592;;
cpp-mtu1;hi_n10000-16-s221755733c6712104.ukp;1;;1800.00;3588;;
cpp-mtu2;hi_n10000-16-s221755733c6712104.ukp;1;;1800.00;3628;;
cpp-mtu1;hi_n10000-17-s994385767c76272157.ukp;1;;1800.00;3704;;
cpp-mtu2;hi_n10000-17-s994385767c76272157.ukp;1;;1800.00;3536;;
cpp-mtu1;hi_n10000-18-s575639252c63036883.ukp;1;;1800.00;3744;;
cpp-mtu2;hi_n10000-18-s575639252c63036883.ukp;1;;1800.00;3444;;
cpp-mtu1;hi_n10000-19-s808826180c61166829.ukp;1;;1800.00;3796;;
cpp-mtu2;hi_n10000-19-s808826180c61166829.ukp;1;;1800.00;3380;;
cpp-mtu1;hi_n10000-1-s594914841c52926330.ukp;1;;1800.00;3772;;
cpp-mtu2;hi_n10000-1-s594914841c52926330.ukp;1;;1800.00;3568;;
cpp-mtu1;hi_n10000-20-s742053853c73621875.ukp;1;0.519773;0.55;3656;7459728706;
cpp-mtu2;hi_n10000-20-s742053853c73621875.ukp;1;0.306108;0.33;3460;7459728706;
cpp-mtu1;hi_n10000-21-s669712253c96279181.ukp;1;;1800.00;3704;;
cpp-mtu2;hi_n10000-21-s669712253c96279181.ukp;1;;1800.00;3380;;
cpp-mtu1;hi_n10000-22-s434860255c92425089.ukp;1;;1800.00;3792;;
cpp-mtu2;hi_n10000-22-s434860255c92425089.ukp;1;;1800.00;3620;;
cpp-mtu1;hi_n10000-23-s605460062c54812232.ukp;1;;1800.00;3768;;
cpp-mtu2;hi_n10000-23-s605460062c54812232.ukp;1;;1800.00;3560;;
cpp-mtu1;hi_n10000-24-s320356631c83848093.ukp;1;;1800.00;3688;;
cpp-mtu2;hi_n10000-24-s320356631c83848093.ukp;1;;1800.00;3468;;
cpp-mtu1;hi_n10000-25-s199811851c76710035.ukp;1;;1800.00;3708;;
cpp-mtu2;hi_n10000-25-s199811851c76710035.ukp;1;;1800.00;3536;;
