num_iter;knapsack_time;sort_time
 1; 0x1.c2db0f0d6cadbp-11; 0x0p+0
 2; 0x1.5d3c711f7cf2fp-11; 0x0p+0
 3; 0x1.fc4bd1a0d8387p-12; 0x0p+0
 4; 0x1.f36c0cb259c8bp-12; 0x0p+0
 5; 0x1.f078f0cf01fdap-12; 0x0p+0
 6; 0x1.009243865ef6ap-11; 0x0p+0
 7; 0x1.06910b2214745p-11; 0x0p+0
 8; 0x1.01db7ff68deefp-11; 0x0p+0
 9; 0x1.064cdc62d31a3p-11; 0x0p+0
 10; 0x1.17428933e8315p-11; 0x0p+0
 11; 0x1.147ece4d66a16p-11; 0x0p+0
 12; 0x1.0f6990a38cf3bp-11; 0x0p+0
 13; 0x1.137cb48684e9ep-11; 0x0p+0
 14; 0x1.1654d61b2a27fp-11; 0x0p+0
 15; 0x1.1d6096a14a45bp-11; 0x0p+0
 16; 0x1.1e5cc894142fdp-11; 0x0p+0
 17; 0x1.166f8bb1ad145p-11; 0x0p+0
 18; 0x1.0a2becb1b35aap-11; 0x0p+0
 19; 0x1.20c8bc35bf995p-11; 0x0p+0
 20; 0x1.1f9abecc72ceap-11; 0x0p+0
 21; 0x1.153980b2cb777p-11; 0x0p+0
 22; 0x1.1fb0e427cc10bp-11; 0x0p+0
 23; 0x1.1f90020501b65p-11; 0x0p+0
 24; 0x1.2a3d37bb4f994p-11; 0x0p+0
 25; 0x1.1fc0312a66d34p-11; 0x0p+0
 26; 0x1.1b9031ef6eebdp-11; 0x0p+0
 27; 0x1.15e38e7ca767ep-11; 0x0p+0
 28; 0x1.0ea2c9ddc8e25p-11; 0x0p+0
 29; 0x1.0d94be129fbfdp-11; 0x0p+0
 30; 0x1.2c0eaf4de9758p-11; 0x0p+0
 31; 0x1.2595e6b1a5541p-11; 0x0p+0
 32; 0x1.1ec01ac8ea505p-11; 0x0p+0
 33; 0x1.2c8019488405ep-11; 0x0p+0
 34; 0x1.ec8dcc1fc281ep-12; 0x0p+0
 35; 0x1.53cfbe775224ap-11; 0x0p+0
 36; 0x1.1d6cefb9d9219p-11; 0x0p+0
 37; 0x1.6eb42c86b5801p-12; 0x0p+0
 38; 0x1.1ac42f220a1e9p-11; 0x0p+0
 39; 0x1.3fddf7a8a9be1p-11; 0x0p+0
 40; 0x1.19e9466651ffcp-11; 0x0p+0
 41; 0x1.29d170dc9d35ap-11; 0x0p+0
 42; 0x1.4066106efcd1cp-11; 0x0p+0
 43; 0x1.1cfdab80bb96p-11; 0x0p+0
 44; 0x1.16b01aba6b764p-11; 0x0p+0
 45; 0x1.1bce342268d8p-11; 0x0p+0
 46; 0x1.0973e97e2acaap-11; 0x0p+0
 47; 0x1.0fdcdba774e85p-11; 0x0p+0
 48; 0x1.1a33a1b1dac7dp-11; 0x0p+0
 49; 0x1.0a7ba660f4aeep-11; 0x0p+0
 50; 0x1.1194d2e0622afp-11; 0x0p+0
 51; 0x1.119c7961af8c4p-11; 0x0p+0
 52; 0x1.095b374d0d12dp-11; 0x0p+0
 53; 0x1.04ab0a853f19ap-11; 0x0p+0
 54; 0x1.0de49a1df8e46p-11; 0x0p+0
 55; 0x1.f9ced24f5c786p-12; 0x0p+0
 56; 0x1.f89549f60fb3ap-12; 0x0p+0
 57; 0x1.1632354b2a39bp-11; 0x0p+0
 58; 0x1.2a25dd2320047p-11; 0x0p+0
 59; 0x1.2808b2ac0f3dp-11; 0x0p+0
 60; 0x1.21b85057cb06ep-11; 0x0p+0
 61; 0x1.3655c1416d218p-11; 0x0p+0
 62; 0x1.2045bd1af5713p-11; 0x0p+0
 63; 0x1.1ff263b53124bp-11; 0x0p+0
 64; 0x1.2773fc14fdacep-11; 0x0p+0
 65; 0x1.1fc0ff52f5b51p-11; 0x0p+0
 66; 0x1.25dcc4a2c2f44p-11; 0x0p+0
 67; 0x1.256e2c361c7a4p-11; 0x0p+0
 68; 0x1.1abfe39f1014ep-11; 0x0p+0
 69; 0x1.1dbd7791a957ap-11; 0x0p+0
 70; 0x1.2299aa57fa346p-11; 0x0p+0
 71; 0x1.21aa1635eec6cp-11; 0x0p+0
 72; 0x1.210498a73c80ap-11; 0x0p+0
 73; 0x1.1b69f168ec056p-11; 0x0p+0
 74; 0x1.17c0b35b590e8p-11; 0x0p+0
 75; 0x1.1c71027f3ed81p-11; 0x0p+0
 76; 0x1.3083ab70b198fp-11; 0x0p+0
 77; 0x1.1ef049ee4f6d4p-11; 0x0p+0
 78; 0x1.1fcfe5414906cp-11; 0x0p+0
 79; 0x1.23e9e17cff7c7p-11; 0x0p+0
 80; 0x1.1e3cb499d8b74p-11; 0x0p+0
 81; 0x1.22b217d0e84b9p-11; 0x0p+0
 82; 0x1.2b991c2c6cabcp-11; 0x0p+0
 83; 0x1.215db78500ca1p-11; 0x0p+0
 84; 0x1.19c305dfcf194p-11; 0x0p+0
 85; 0x1.243978d029006p-11; 0x0p+0
 86; 0x1.1b6b4901da286p-11; 0x0p+0
 87; 0x1.1e1e81a8eaa3p-11; 0x0p+0
 88; 0x1.2b7161b0e3d1fp-11; 0x0p+0
 89; 0x1.3882e4878fbd1p-11; 0x0p+0
 90; 0x1.32807d3557473p-11; 0x0p+0
 91; 0x1.399d04b3181aep-11; 0x0p+0
 92; 0x1.3950eaba59bedp-11; 0x0p+0
 93; 0x1.13eac382cc22bp-11; 0x0p+0
 94; 0x1.f30ff9ea89989p-12; 0x0p+0
 95; 0x1.05a37a656e3b4p-11; 0x0p+0
 96; 0x1.088f9b93efb68p-11; 0x0p+0
 97; 0x1.ef6292b614686p-12; 0x0p+0
 98; 0x1.10d9b966b5e3fp-11; 0x0p+0
 99; 0x1.114bcf2dc785ep-11; 0x0p+0
 100; 0x1.069e771b61d2ap-11; 0x0p+0
 101; 0x1.ebfe2f3439dd4p-12; 0x0p+0
 102; 0x1.e864608559795p-12; 0x0p+0
 103; 0x1.db8efed85a161p-12; 0x0p+0
 104; 0x1.d7256b497a1c8p-12; 0x0p+0
 105; 0x1.c675ce40f3c3cp-12; 0x0p+0
 106; 0x1.db2f29fdef1d7p-12; 0x0p+0
 107; 0x1.0fec28aa0faaep-11; 0x0p+0
 108; 0x1.02cfe90bf2a78p-11; 0x0p+0
 109; 0x1.ecde53f792b7ep-12; 0x0p+0
 110; 0x1.24900ad828d41p-11; 0x0p+0
 111; 0x1.0ad5710b3009ep-11; 0x0p+0
 112; 0x1.d39ccaa681df6p-12; 0x0p+0
 113; 0x1.f45370e2b893dp-12; 0x0p+0
 114; 0x1.fb8be333d2a6ap-12; 0x0p+0
 115; 0x1.1f2c265fcc549p-11; 0x0p+0
 116; 0x1.c88a1cf9e0d72p-12; 0x0p+0
 117; 0x1.c7715467469c6p-12; 0x0p+0
 118; 0x1.f440eb3de24ap-12; 0x0p+0
 119; 0x1.f83a8ec72da68p-12; 0x0p+0
 120; 0x1.0d98c4dd6a28fp-11; 0x0p+0
 121; 0x1.00e26449e7bbdp-11; 0x0p+0
 122; 0x1.0ff232da3f489p-11; 0x0p+0
 123; 0x1.2b5576dd8a92dp-11; 0x0p+0
 124; 0x1.2234bbd206503p-11; 0x0p+0
 125; 0x1.fe490a79c557ap-12; 0x0p+0
 126; 0x1.1370e4de554f3p-11; 0x0p+0
 127; 0x1.002502b2a69fbp-11; 0x0p+0
 128; 0x1.e3bf353d2c38fp-12; 0x0p+0
 129; 0x1.111a6acb8c163p-11; 0x0p+0
 130; 0x1.0da4722981f35p-11; 0x0p+0
 131; 0x1.fac6db1b44292p-12; 0x0p+0
