algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
mgreendp;hi_n10000-0-s731232778c45667812.ukp;1;0.314782;0.34;717060;4603064578;
mgreendp;hi_n10000-10-s199607488c69682757.ukp;1;0.38329;0.41;1007404;7059536142;
mgreendp;hi_n10000-11-s895832870c87027021.ukp;1;0.497724;0.52;1363440;8799433767;
mgreendp;hi_n10000-12-s420935988c69330407.ukp;1;0.404966;0.43;1086772;7022051602;
mgreendp;hi_n10000-13-s204947608c51012814.ukp;1;0.348045;0.37;800688;5149953317;
mgreendp;hi_n10000-14-s318339058c72410003.ukp;1;0.310257;0.33;814372;7336849032;
mgreendp;hi_n10000-15-s750851024c76269221.ukp;1;0.435817;0.46;1195340;7711846044;
mgreendp;hi_n10000-16-s221755733c6712104.ukp;1;0.186358;0.21;108432;657981535;
mgreendp;hi_n10000-17-s994385767c76272157.ukp;1;0.422609;0.45;1195300;7721680742;
mgreendp;hi_n10000-18-s575639252c63036883.ukp;1;0.396442;0.42;988512;6363488798;
mgreendp;hi_n10000-19-s808826180c61166829.ukp;1;0.38043;0.40;959228;6178122360;
mgreendp;hi_n10000-1-s594914841c52926330.ukp;1;0.336707;0.36;830452;5337839522;
mgreendp;hi_n10000-20-s742053853c73621875.ukp;1;0.302541;0.33;682684;7459728706;
mgreendp;hi_n10000-21-s669712253c96279181.ukp;1;0.504353;0.52;1507908;9748536169;
mgreendp;hi_n10000-22-s434860255c92425089.ukp;1;0.485554;0.51;1447772;9358930559;
mgreendp;hi_n10000-23-s605460062c54812232.ukp;1;0.357586;0.38;860092;5528611140;
mgreendp;hi_n10000-24-s320356631c83848093.ukp;1;0.444048;0.46;1313696;8471416844;
mgreendp;hi_n10000-25-s199811851c76710035.ukp;1;0.414899;0.44;1202024;7748598782;
mgreendp;hi_n10000-26-s90924128c8247071.ukp;1;0.189359;0.21;132432;820583086;
mgreendp;hi_n10000-27-s532584774c72723498.ukp;1;0.40817;0.43;1139868;7344796108;
mgreendp;hi_n10000-28-s882501307c77307903.ukp;1;0.471212;0.49;1211416;7831318901;
mgreendp;hi_n10000-29-s443600954c54711483.ukp;1;0.345302;0.36;858488;5528180371;
mgreendp;hi_n10000-2-s324673955c67603969.ukp;1;0.296393;0.32;760996;6849567353;
mgreendp;hi_n10000-30-s418727292c56574382.ukp;1;0.362661;0.39;887528;5706182036;
mgreendp;hi_n10000-31-s410031365c77889933.ukp;1;0.503718;0.52;1220576;7866605653;
mgreendp;hi_n10000-32-s674362184c8388832.ukp;1;0.194295;0.22;134568;827554459;
mgreendp;hi_n10000-33-s126192256c7867079.ukp;1;0.189551;0.22;126352;782523704;
mgreendp;hi_n10000-34-s467641010c48504579.ukp;1;0.33556;0.36;761452;4894056115;
mgreendp;hi_n10000-35-s889293313c70201258.ukp;1;0.459898;0.48;1100544;7098543390;
mgreendp;hi_n10000-36-s442208726c59442236.ukp;1;0.253894;0.28;562540;6022409912;
mgreendp;hi_n10000-37-s252959003c73320246.ukp;1;0.42111;0.44;1149144;7415260420;
mgreendp;hi_n10000-38-s527753500c90683806.ukp;1;0.480281;0.50;1420536;9168116810;
mgreendp;hi_n10000-39-s713413380c48918775.ukp;1;0.390353;0.41;767864;4933046995;
mgreendp;hi_n10000-3-s300958364c65617717.ukp;1;0.376707;0.40;1028688;6625258180;
mgreendp;hi_n10000-40-s534548386c95312321.ukp;1;0.529511;0.55;1492808;9652578982;
mgreendp;hi_n10000-41-s262685617c74110651.ukp;1;0.49659;0.52;1161464;7489658205;
mgreendp;hi_n10000-42-s261146317c82121499.ukp;1;0.452418;0.48;1286700;8300347301;
mgreendp;hi_n10000-43-s325989053c33929358.ukp;1;0.27613;0.30;533784;3416465751;
mgreendp;hi_n10000-44-s539788685c80958891.ukp;1;0.448026;0.47;1268412;8175930486;
mgreendp;hi_n10000-45-s19378828c34021658.ukp;1;0.276116;0.30;535272;3434960436;
mgreendp;hi_n10000-46-s956143877c64789316.ukp;1;0.384544;0.41;1015968;6540164002;
mgreendp;hi_n10000-47-s442730424c11037950.ukp;1;0.203689;0.23;176032;1116286107;
mgreendp;hi_n10000-48-s888315654c85762730.ukp;1;0.462186;0.49;1343604;8671120377;
mgreendp;hi_n10000-49-s147981886c59878474.ukp;1;0.378697;0.40;939168;6043628204;
mgreendp;hi_n10000-4-s182130978c48752651.ukp;1;0.331725;0.36;765400;4914239108;
mgreendp;hi_n10000-5-s554525798c27721806.ukp;1;0.261785;0.28;436804;2782775797;
mgreendp;hi_n10000-6-s398797429c16372434.ukp;1;0.21508;0.24;259472;1637020521;
mgreendp;hi_n10000-7-s586106970c93158297.ukp;1;0.48192;0.51;1459088;9414637563;
mgreendp;hi_n10000-8-s67683560c34964751.ukp;1;0.275152;0.30;549808;3524932327;
mgreendp;hi_n10000-9-s915258292c6311802.ukp;1;0.188831;0.21;102124;620258958;
mgreendp;hi_n20000-0-s731232778c13130598.ukp;1;0.611551;0.66;209000;2646192048;
mgreendp;hi_n20000-10-s199607488c47897810.ukp;1;0.825452;0.87;752024;9602304553;
mgreendp;hi_n20000-11-s895832870c21445624.ukp;1;0.65304;0.70;338708;4286222831;
mgreendp;hi_n20000-12-s420935988c55461121.ukp;1;0.757393;0.80;870420;11166156062;
mgreendp;hi_n20000-13-s204947608c77271005.ukp;1;0.956561;1.00;1211180;15535724455;
mgreendp;hi_n20000-14-s318339058c57605881.ukp;1;0.768116;0.82;903780;11590953581;
mgreendp;hi_n20000-15-s750851024c17795343.ukp;1;0.617441;0.66;281932;3536797452;
mgreendp;hi_n20000-16-s221755733c31287203.ukp;1;0.718269;0.77;492684;6302830157;
mgreendp;hi_n20000-17-s994385767c39687653.ukp;1;0.697111;0.74;623816;7954211035;
mgreendp;hi_n20000-18-s575639252c60094940.ukp;1;0.635315;0.68;570332;12111929286;
mgreendp;hi_n20000-19-s808826180c78733090.ukp;1;0.847764;0.89;1233936;15843413187;
mgreendp;hi_n20000-1-s594914841c61666657.ukp;1;0.789313;0.83;967224;12427088499;
mgreendp;hi_n20000-20-s742053853c66621104.ukp;1;0.847235;0.89;1044656;13421598642;
mgreendp;hi_n20000-21-s669712253c80951944.ukp;1;0.854588;0.89;1135796;16314351320;
mgreendp;hi_n20000-22-s434860255c66089141.ukp;1;0.917511;0.96;1036508;13306257875;
mgreendp;hi_n20000-23-s605460062c74433867.ukp;1;0.823207;0.86;1166776;14969284591;
mgreendp;hi_n20000-24-s320356631c99252240.ukp;1;1.11546;1.16;1554628;19994225459;
mgreendp;hi_n20000-25-s199811851c12031782.ukp;1;0.606661;0.65;191844;2409849321;
mgreendp;hi_n20000-26-s90924128c44036015.ukp;1;0.713946;0.75;691808;8825439085;
mgreendp;hi_n20000-27-s532584774c55453527.ukp;1;0.741357;0.79;870224;11164198706;
mgreendp;hi_n20000-28-s882501307c67192471.ukp;1;0.879281;0.92;1053620;13496631391;
mgreendp;hi_n20000-29-s443600954c92125949.ukp;1;1.00664;1.05;1443160;18566619777;
mgreendp;hi_n20000-2-s324673955c91206311.ukp;1;0.895908;0.94;1428964;18350640869;
mgreendp;hi_n20000-30-s418727292c82162365.ukp;1;1.0858;1.13;1287704;16509134386;
mgreendp;hi_n20000-31-s410031365c69379204.ukp;1;0.835711;0.88;1087808;13949599481;
mgreendp;hi_n20000-32-s674362184c74104370.ukp;1;0.94029;0.98;1161456;14929640648;
mgreendp;hi_n20000-33-s126192256c21861015.ukp;1;0.644394;0.68;345372;4359439552;
mgreendp;hi_n20000-34-s467641010c40842012.ukp;1;0.795895;0.84;641892;8180607175;
mgreendp;hi_n20000-35-s889293313c63466318.ukp;1;0.824711;0.87;995496;12761164425;
mgreendp;hi_n20000-36-s442208726c47872978.ukp;1;0.734409;0.77;751856;9607890093;
mgreendp;hi_n20000-37-s252959003c48079947.ukp;1;0.755906;0.80;755156;9659733607;
mgreendp;hi_n20000-38-s527753500c52694607.ukp;1;0.768055;0.81;772460;10619706294;
mgreendp;hi_n20000-39-s713413380c94443202.ukp;1;1.41966;1.46;1479404;18982007823;
mgreendp;hi_n20000-3-s300958364c56418527.ukp;1;0.80415;0.85;885456;11348585540;
mgreendp;hi_n20000-40-s534548386c12675341.ukp;1;0.605084;0.65;201904;2503731053;
mgreendp;hi_n20000-41-s262685617c55170783.ukp;1;0.767144;0.81;865736;11071762104;
mgreendp;hi_n20000-42-s261146317c86648320.ukp;1;0.924036;0.97;1357616;17430101586;
mgreendp;hi_n20000-43-s325989053c19041897.ukp;1;0.61185;0.66;301328;3809764957;
mgreendp;hi_n20000-44-s539788685c31401096.ukp;1;0.675201;0.72;494204;6312041531;
mgreendp;hi_n20000-45-s19378828c13553251.ukp;1;0.633632;0.68;215620;2684674990;
mgreendp;hi_n20000-46-s956143877c63853327.ukp;1;0.817049;0.86;1001528;12861791441;
mgreendp;hi_n20000-47-s442730424c7402537.ukp;1;0.581145;0.63;119396;1448123187;
mgreendp;hi_n20000-48-s888315654c53293071.ukp;1;0.751178;0.80;836460;10694896201;
mgreendp;hi_n20000-49-s147981886c75371478.ukp;1;0.920158;0.96;1181440;15145433899;
mgreendp;hi_n20000-4-s182130978c46428515.ukp;1;0.738732;0.78;729124;9352352494;
mgreendp;hi_n20000-5-s554525798c51592665.ukp;1;0.796021;0.84;809920;10396708836;
mgreendp;hi_n20000-6-s398797429c8780715.ukp;1;0.584992;0.63;140972;1727442377;
mgreendp;hi_n20000-7-s586106970c28033333.ukp;1;0.716879;0.76;441784;5618713683;
