algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
ordered_step_off;rr_n1024-0-s321446c2108424.ukp;1;0.00978162;0.02;36004;2399816;
terminating_step_off;rr_n1024-0-s321446c2108424.ukp;1;0.00941167;0.02;35980;2399816;
eduk;rr_n1024-0-s321446c2108424.ukp;1;0.00667;0.00;5356;2399816;
eduk2;rr_n1024-0-s321446c2108424.ukp;1;0.00333;0.01;3844;2399816;
cpp-mtu1;rr_n1024-0-s321446c2108424.ukp;1;0.00028668;0.02;3396;2399816;
cpp-mtu2;rr_n1024-0-s321446c2108424.ukp;1;0.000122806;0.01;3388;2399816;
mgreendp;rr_n1024-0-s321446c2108424.ukp;1;0.0118307;0.03;34968;2399816;
ordered_step_off;rr_n1024-1-s837176c2141802.ukp;1;0.0113619;0.02;36568;2323664;
terminating_step_off;rr_n1024-1-s837176c2141802.ukp;1;0.00724075;0.01;31412;2323664;
eduk;rr_n1024-1-s837176c2141802.ukp;1;0.00667;0.01;5044;2323664;
eduk2;rr_n1024-1-s837176c2141802.ukp;1;0.00333;0.01;3792;2323664;
cpp-mtu1;rr_n1024-1-s837176c2141802.ukp;1;0.0012936;0.02;3376;2323664;
cpp-mtu2;rr_n1024-1-s837176c2141802.ukp;1;0.000355414;0.01;3312;2323664;
mgreendp;rr_n1024-1-s837176c2141802.ukp;1;0.00774007;0.03;28120;2323664;
ordered_step_off;rr_n1024-2-s465040c2097300.ukp;1;0.00922795;0.02;35828;2219809;
terminating_step_off;rr_n1024-2-s465040c2097300.ukp;1;0.00568955;0.01;28884;2219809;
eduk;rr_n1024-2-s465040c2097300.ukp;1;0.01000;0.01;5336;2219809;
eduk2;rr_n1024-2-s465040c2097300.ukp;1;0.00000;0.00;3712;2219809;
cpp-mtu1;rr_n1024-2-s465040c2097300.ukp;1;0.000114819;0.01;3372;2219809;
cpp-mtu2;rr_n1024-2-s465040c2097300.ukp;1;0.000107797;0.01;3376;2219809;
mgreendp;rr_n1024-2-s465040c2097300.ukp;1;0.00451474;0.01;28504;2219809;
ordered_step_off;rr_n1024-3-s286473c2142478.ukp;1;0.0115772;0.02;36568;2225213;
terminating_step_off;rr_n1024-3-s286473c2142478.ukp;1;0.0128657;0.02;36464;2225213;
eduk;rr_n1024-3-s286473c2142478.ukp;1;0.01000;0.01;5632;2225213;
eduk2;rr_n1024-3-s286473c2142478.ukp;1;0.00000;0.00;3856;2225213;
cpp-mtu1;rr_n1024-3-s286473c2142478.ukp;1;0.00038019;0.02;3372;2225213;
cpp-mtu2;rr_n1024-3-s286473c2142478.ukp;1;0.000785395;0.02;3484;2225213;
mgreendp;rr_n1024-3-s286473c2142478.ukp;1;0.00823364;0.02;36552;2225213;
ordered_step_off;rr_n1024-4-s57635c2136861.ukp;1;0.010222;0.02;36484;2355672;
terminating_step_off;rr_n1024-4-s57635c2136861.ukp;1;0.00476236;0.01;30536;2355672;
eduk;rr_n1024-4-s57635c2136861.ukp;1;0.00000;0.00;5280;2355672;
eduk2;rr_n1024-4-s57635c2136861.ukp;1;0.00333;0.01;3756;2355672;
cpp-mtu1;rr_n1024-4-s57635c2136861.ukp;1;0.000119302;0.01;3500;2355672;
cpp-mtu2;rr_n1024-4-s57635c2136861.ukp;1;0.000240415;0.02;3512;2355672;
mgreendp;rr_n1024-4-s57635c2136861.ukp;1;0.004394;0.01;28620;2355672;
ordered_step_off;rr_n1024-5-s73266c2149076.ukp;1;0.0104415;0.02;36536;2474806;
terminating_step_off;rr_n1024-5-s73266c2149076.ukp;1;0.0116492;0.02;36796;2474806;
eduk;rr_n1024-5-s73266c2149076.ukp;1;0.00667;0.01;5368;2474806;
eduk2;rr_n1024-5-s73266c2149076.ukp;1;0.00000;0.01;5716;2474806;
cpp-mtu1;rr_n1024-5-s73266c2149076.ukp;1;0.000102647;0.01;3408;2474806;
cpp-mtu2;rr_n1024-5-s73266c2149076.ukp;1;0.000247451;0.02;3388;2474806;
mgreendp;rr_n1024-5-s73266c2149076.ukp;1;0.00916383;0.02;31212;2474806;
ordered_step_off;rr_n1024-6-s460116c2149608.ukp;1;0.0100546;0.02;36552;2334360;
terminating_step_off;rr_n1024-6-s460116c2149608.ukp;1;0.010238;0.02;36708;2334360;
eduk;rr_n1024-6-s460116c2149608.ukp;1;0.00667;0.01;5276;2334360;
eduk2;rr_n1024-6-s460116c2149608.ukp;1;0.00000;0.01;3840;2334360;
cpp-mtu1;rr_n1024-6-s460116c2149608.ukp;1;0.000198926;0.02;3476;2334360;
cpp-mtu2;rr_n1024-6-s460116c2149608.ukp;1;9.9966e-05;0.01;3392;2334360;
mgreendp;rr_n1024-6-s460116c2149608.ukp;1;0.00595896;0.02;23948;2334360;
ordered_step_off;rr_n1024-7-s245741c2158930.ukp;1;0.0117827;0.02;36692;2207743;
terminating_step_off;rr_n1024-7-s245741c2158930.ukp;1;0.0112008;0.02;36008;2207743;
eduk;rr_n1024-7-s245741c2158930.ukp;1;0.00667;0.01;5400;2207743;
eduk2;rr_n1024-7-s245741c2158930.ukp;1;0.00333;0.01;3888;2207743;
cpp-mtu1;rr_n1024-7-s245741c2158930.ukp;1;0.000784561;0.02;3372;2207743;
cpp-mtu2;rr_n1024-7-s245741c2158930.ukp;1;0.000994069;0.02;3472;2207743;
mgreendp;rr_n1024-7-s245741c2158930.ukp;1;0.0064586;0.02;28308;2207743;
ordered_step_off;rr_n1024-8-s90643c2128174.ukp;1;0.00920664;0.02;36304;2308469;
terminating_step_off;rr_n1024-8-s90643c2128174.ukp;1;0.00594715;0.01;30664;2308469;
eduk;rr_n1024-8-s90643c2128174.ukp;1;0.00333;0.01;4272;2308469;
eduk2;rr_n1024-8-s90643c2128174.ukp;1;0.00333;0.01;3924;2308469;
cpp-mtu1;rr_n1024-8-s90643c2128174.ukp;1;0.000257757;0.02;3320;2308469;
cpp-mtu2;rr_n1024-8-s90643c2128174.ukp;1;9.4676e-05;0.00;3484;2308469;
mgreendp;rr_n1024-8-s90643c2128174.ukp;1;0.00858716;0.03;26500;2308469;
ordered_step_off;rr_n1024-9-s36374c2133152.ukp;1;0.0170337;0.03;36268;2198462;
terminating_step_off;rr_n1024-9-s36374c2133152.ukp;1;0.0179156;0.04;34576;2198462;
eduk;rr_n1024-9-s36374c2133152.ukp;1;0.01000;0.02;5488;2198462;
eduk2;rr_n1024-9-s36374c2133152.ukp;1;0.00333;0.01;5488;2198462;
cpp-mtu1;rr_n1024-9-s36374c2133152.ukp;1;0.0185797;0.04;3384;2198462;
cpp-mtu2;rr_n1024-9-s36374c2133152.ukp;1;0.00139997;0.01;3364;2198462;
mgreendp;rr_n1024-9-s36374c2133152.ukp;1;0.00635503;0.02;34228;2198462;
ordered_step_off;rr_n131072-0-s137962c275540577.ukp;1;9.93904;10.36;4313584;277114495;
terminating_step_off;rr_n131072-0-s137962c275540577.ukp;1;9.44289;9.73;3431128;277114495;
eduk;rr_n131072-0-s137962c275540577.ukp;1;14.84000;14.88;61660;277114495;
eduk2;rr_n131072-0-s137962c275540577.ukp;1;1.02333;1.06;72032;277114495;
cpp-mtu1;rr_n131072-0-s137962c275540577.ukp;1;2.58151;2.86;10360;277114495;
cpp-mtu2;rr_n131072-0-s137962c275540577.ukp;1;2.27375;2.55;7392;277114495;
mgreendp;rr_n131072-0-s137962c275540577.ukp;1;9.37301;9.65;4249988;277114495;
ordered_step_off;rr_n131072-1-s615086c275028465.ukp;1;16.2863;16.57;4305612;277462992;
