w;p
2034349;25404311
305713;358438
1484408;9851852
117956;53119
963400;3750134
152321;88625
1930954;20463116
359791;497500
1352722;7913517
122589;57377
1659168;13031926
448254;775454
374577;539571
735845;2133355
736341;2136329
310760;370437
1219177;6252722
839070;2802749
604493;1424159
541397;1137407
949755;3638232
674365;1782129
370798;528652
2083014;29664781
745073;2189075
887659;3153978
1304256;7278541
606773;1435163
1010538;4152459
2070630;28234874
924456;3436042
956340;3691984
854164;2909314
332786;425158
430870;715831
532201;1098447
1394723;8496194
919413;3396549
1646038;12763016
1968616;21987887
441211;751001
1990797;23004452
1419267;8851512
556253;1201858
230176;202719
1966923;21914387
1098434;4970849
724163;2063951
474047;868481
1794521;16190629
1170771;5715620
2047989;26331579
1232190;6402690
1133295;5321396
1430198;9013436
1352280;7907549
1563224;11186586
1884932;18845934
477487;881302
1958099;21539564
1698528;13873462
1276476;6931589
1322506;7513114
437170;737154
410872;650283
1038430;4402320
320357;393809
1943748;20957135
1009861;4146505
1763306;15390391
1924220;20211700
1120205;5187974
1199727;6033030
658994;1699668
1008447;4134086
1110365;5089106
1669532;13248236
1094098;4928308
771768;2354758
1043578;4449419
570891;1267202
1161841;5620009
86987;28878
20821;1654
1570198;11311988
684093;1835413
716800;2020855
354449;482729
1128828;5275620
1322944;7518810
978130;3873211
47975;8782
1810955;16633054
1039536;4412413
86202;28359
849888;2878894
2091503;31093254
1755845;15206298
1844888;17599016
1461232;9486010
1600222;11866693
1458192;9438857
536763;1117685
2083123;29679753
397741;609004
1946480;21065593
2071599;28332348
1918107;19988243
1635052;12542275
1259618;6726822
759026;2274837
783420;2429190
1186773;5889621
1320230;7483567
1554523;11031883
1314754;7412820
9476;343
378634;551421
1224026;6308322
1989682;22950740
1194896;5979278
502601;977872
101384;39234
1872369;18440734
341970;449110
1319598;7475377
2094512;31871312
108229;44714
1259818;6729226
1513253;10323491
312899;375583
1793251;16157073
826698;2717086
1666788;13190610
1810823;16629438
1234937;6434658
233275;208232
1373614;8199450
1697837;13858205
1139644;5386897
1654762;12941059
1133073;5319115
1672945;13320273
1490618;9951832
853086;2901628
217602;181118
1517690;10397708
2042921;25973061
24926;2371
1960469;21638913
538263;1124049
1308706;7335245
395787;602981
406213;635477
341077;446752
298523;341691
1038516;4403104
1824601;17012586
323873;402553
793113;2492097
481539;896529
450272;782536
861254;2960156
1145730;5450173
784672;2437265
108649;45062
383737;566513
1062998;4629894
838540;2799048
1531198;10626487
1085820;4847733
772830;2361488
1283656;7020113
940988;3567393
818392;2660421
1113322;5118689
1129330;5280752
449750;780701
416701;669054
1609994;12052636
900320;3249442
341022;446607
1796290;16237518
244666;229136
1933804;20571257
865546;2991180
80091;24479
333170;426147
1475901;9716243
351204;473868
369106;523800
1545582;10874904
374507;539368
374325;538839
378235;550249
1673856;13339570
1403565;8622901
769811;2342383
1292773;7133667
1914336;19852563
353094;479018
1213388;6186779
2047694;26310199
532778;1100870
1420719;8872888
1677369;13414253
1179100;5805756
784448;2435819
936441;3530976
1062426;4624514
2034918;25440756
439091;743720
1052701;4533647
181872;126419
2038425;25669337
1070544;4701228
1827213;17086560
1894941;19178941
482503;900171
1581081;11510233
1495019;10023199
2007102;23827432
933347;3506322
237731;216289
1119182;5177639
2058605;27150594
316639;384668
1813306;16697631
1380018;8288630
855135;2916247
91988;32295
627763;1538596
1047457;4485112
1222394;6289571
937347;3538215
988297;3959555
1665410;13161768
361820;503169
639240;1596786
370368;527417
672941;1774401
2155;18
1494121;10008602
13673;714
124594;59271
276297;292489
1870744;18389307
1452128;9345366
115865;51251
671198;1764966
1873654;18481556
1108983;5075317
645494;1628983
1742404;14881159
1311444;7370291
1092127;4909047
74510;21185
1689673;13679292
165819;105054
693660;1888649
1459028;9451805
629039;1545008
248345;236104
147248;82813
945855;3606617
1393113;8473277
1850390;17762965
381362;559463
604540;1424385
183915;129281
225544;194619
251281;241739
457712;808931
1812616;16678643
1584191;11567467
909804;3322039
1064594;4644925
844078;2837854
1143130;5423082
306410;360083
267528;274143
647197;1637811
1608197;12018237
395240;601300
1366275;8098140
668225;1748936
1382389;8321833
374046;538030
179166;122678
1724391;14457897
1182714;5845157
740175;2159401
555333;1197813
1924401;20218384
210831;169993
1120764;5193628
1607091;11997112
47072;8454
1339670;7738688
1373905;8203486
147370;82950
1507274;10224196
1934238;20587818
1933080;20543685
1647667;12796074
63309;15293
1396998;8528657
1476109;9719541
1223628;6303745
1041515;4430507
1512042;10303314
804326;2565996
816589;2648210
1133807;5326659
1087320;4862271
1392511;8464720
1911648;19756824
83045;26319
1371848;8174985
657801;1693357
701034;1930248
1047769;4487991
1794246;16183355
659570;1702720
1614879;12146622
1267960;6827612
736435;2136893
1124427;5230770
1820776;16905041
113747;49393
1437397;9121346
1175399;5765589
2077434;28963952
1131029;5298143
493302;941504
1185165;5871980
43686;7282
2094259;31792561
1043839;4451815
207990;165432
174327;116130
1250734;6620625
596344;1385199
506845;994709
1243713;6537522
1250393;6616572
1956223;21461585
378972;552414
1034024;4362254
309888;368350
1253924;6658622
263390;265694
588054;1346154
1168992;5696488
1490355;9947581
1472290;9659148
1343981;7796114
1993251;23123746
432616;721708
1894969;19179886
616153;1480909
113293;48999
1652451;12893654
331463;421763
344597;456084
1579234;11476366
429203;710243
897568;3228552
567178;1250454
742069;2170849
843994;2837263
1631088;12463553
2047128;26269362
101864;39606
284821;310901
1529237;10593007
608362;1442858
577179;1295834
1810957;16633109
185997;132230
1167962;5685430
2046674;26236780
1594236;11754128
1182594;5843846
678342;1803810
2094823;31973497
156943;94093
1020848;4243778
1258746;6716346
1928323;20364211
964297;3757562
94199;33867
1563108;11184510
1584863;11579868
1934130;20583695
1437619;9124690
1769816;15553203
1142820;5419858
1437485;9122671
192545;141724
1170519;5712907
623961;1519575
234149;209800
1418480;8839942
1333696;7659623
2020841;24585178
1737544;14765586
79041;23841
1137142;5361022
521800;1055241
1525552;10530340
782949;2426156
831734;2751773
347024;462576
359295;496118
1390971;8442861
1917674;19972582
479166;887595
803214;2558613
1466997;9575955
449550;779998
1112416;5109613
430375;714169
1925502;20259130
2064360;27643861
722362;2053363
596501;1385944
57936;12807
615435;1477380
925638;3445337
334883;430568
1021551;4250049
829044;2733214
550629;1177239
700987;1929981
1189228;5916623
1832208;17229254
1994259;23173187
2070834;28255242
773286;2364382
325136;405718
238170;217091
395854;603187
1446916;9265607
449412;779514
681493;1821088
839116;2803070
360186;498601
382994;564302
824890;2704694
665911;1736514
