w;p
486809;1418649
109161;237059
1007429;3053657
80952;148613
124682;286607
370193;1057293
782702;2349224
519798;1521955
767506;2301583
541015;1587744
1020107;3093171
1041847;3161538
441142;1275195
360509;1027493
111841;245340
1013790;3073375
392110;1124283
162438;405752
245531;663752
877267;2646499
965677;2922058
353188;1004513
684110;2037175
866609;2612150
623806;1847736
712594;2126111
164139;411156
329817;932249
839523;2528420
622272;1843085
426935;1232378
1046390;3175708
886375;2676250
99742;207122
403261;1158556
981928;2973441
690182;2055318
788613;2367150
991942;3005403
1007313;3053406
396018;1136706
970555;2937605
449544;1301691
488825;1424483
840318;2530460
452467;1310620
564296;1661621
602544;1780425
752933;2256067
214883;569637
189545;490177
297718;829067
491924;1434726
306886;859944
538937;1580994
172881;438038
626151;1854338
236406;635271
853324;2571192
732184;2188458
365004;1042059
79090;142504
376615;1077112
1005781;3048314
873091;2633603
588063;1735321
167867;422613
874183;2636976
757577;2271264
1005484;3047552
173994;441486
894103;2700552
246471;667255
736840;2203467
746883;2235705
345939;981233
80598;147461
663901;1972819
158737;394542
536631;1573309
69972;112608
137868;328252
649014;1925995
51486;54935
1033634;3136120
637787;1890673
876058;2642403
595472;1758271
197744;515441
443213;1282107
648292;1923727
929218;2810495
788193;2365646
131340;307798
472052;1370683
663373;1971067
297759;829280
146333;355522
824881;2482057
553772;1627500
1031062;3127857
493675;1440021
358113;1019722
589054;1738174
667678;1983993
271461;746395
191253;494799
226924;606891
776434;2329695
670314;1991987
870091;2623134
809838;2434084
805739;2420878
1043504;3166714
240393;647129
991830;3005060
833460;2508530
557428;1639897
663586;1971748
851955;2566867
55742;68177
765648;2295536
549974;1616079
820471;2467539
627110;1857332
977041;2958807
482573;1404017
494534;1442662
320827;904028
126234;291677
592093;1747433
174546;443370
215124;570476
466334;1354113
649432;1927166
850951;2563548
304683;853457
971619;2941399
650674;1931037
954463;2887546
955389;2890418
859479;2590313
414038;1191834
671853;1997526
742073;2220105
196086;510196
686607;2044367
492874;1437561
834133;2510854
462101;1340772
848530;2555750
163583;409211
105137;224223
965763;2922167
812443;2442365
742589;2221776
427322;1233600
790574;2373225
927961;2806860
587341;1732881
791392;2375982
733265;2191925
1038135;3150180
770774;2311731
717531;2140842
490645;1430329
82946;154659
813164;2444903
659559;1958715
132057;310066
59858;81131
668187;1985621
107354;231042
395531;1135195
294877;819928
911403;2755383
717491;2140620
68326;107347
233274;625199
389514;1116619
789406;2369699
444679;1286484
926101;2801027
341017;965450
206110;542067
414623;1193865
394367;1131580
666177;1979317
417267;1202239
54239;63421
902866;2729705
360344;1026989
400452;1150544
389438;1116564
954117;2886548
704042;2099213
676729;2012466
548018;1609790
430073;1242434
281575;778846
536820;1573922
364561;1040627
828673;2493417
730063;2181764
240188;646407
684272;2037614
447693;1296336
632457;1873780
234228;628400
539446;1582463
140508;337131
249934;678546
83167;155473
84153;158567
246411;667052
273333;752502
482242;1403004
394311;1131379
273121;751794
305330;855397
997739;3023976
289482;803037
94917;192170
673587;2002831
989863;2999046
110917;242487
835023;2513690
928199;2807661
569716;1678687
115432;256667
377028;1078214
247034;669305
346500;983032
739044;2210695
138504;330628
1023823;3105315
261565;715051
606228;1792453
103867;220307
166951;419719
673756;2003347
986300;2987386
405743;1166581
398569;1144675
544983;1599904
94777;191709
51386;54583
704731;2101004
369030;1053947
175654;446435
913022;2760138
424263;1223924
1008981;3059233
529975;1552942
387311;1110022
78172;139424
422562;1218539
691143;2058264
