w;p
1016;1016
1046;1046
1248;1248
1269;1269
1379;1379
1459;1459
1500;1500
1520;1520
1682;1682
1814;1814
1865;1865
2116;2116
2335;2335
2356;2356
2421;2421
2474;2474
2663;2663
2828;2828
2837;2837
3072;3072
3249;3249
3355;3355
3395;3395
3694;3694
3763;3763
3910;3910
3965;3965
4133;4133
4165;4165
4225;4225
4274;4274
4306;4306
4395;4395
4450;4450
4790;4790
4797;4797
4802;4802
5227;5227
5233;5233
5243;5243
5300;5300
5383;5383
5389;5389
5419;5419
5470;5470
5506;5506
5755;5755
5762;5762
5875;5875
6004;6004
6113;6113
6168;6168
6507;6507
6720;6720
6742;6742
6934;6934
7052;7052
7089;7089
7095;7095
7167;7167
7258;7258
7427;7427
7496;7496
7537;7537
7564;7564
7692;7692
7721;7721
7746;7746
7800;7800
7816;7816
7836;7836
7895;7895
7962;7962
8202;8202
8236;8236
8292;8292
8604;8604
8635;8635
8640;8640
8650;8650
8681;8681
9061;9061
9096;9096
9121;9121
9192;9192
9301;9301
9336;9336
9371;9371
9390;9390
9422;9422
9561;9561
9899;9899
9962;9962
10027;10027
10062;10062
10068;10068
10080;10080
10279;10279
10366;10366
10458;10458
10485;10485
10528;10528
10680;10680
10788;10788
10807;10807
11000;11000
11013;11013
11048;11048
11072;11072
11086;11086
11135;11135
11218;11218
11304;11304
11461;11461
11667;11667
11715;11715
11794;11794
11911;11911
12162;12162
12189;12189
12239;12239
12361;12361
12535;12535
12603;12603
12677;12677
12891;12891
12962;12962
13526;13526
13857;13857
13927;13927
13987;13987
14103;14103
14206;14206
14285;14285
14369;14369
14403;14403
14672;14672
14673;14673
14680;14680
15014;15014
15177;15177
15368;15368
15391;15391
15452;15452
15557;15557
15639;15639
15863;15863
15884;15884
15907;15907
15962;15962
16147;16147
16168;16168
16259;16259
16460;16460
16538;16538
16609;16609
16661;16661
16712;16712
16728;16728
16803;16803
16816;16816
16892;16892
16915;16915
17107;17107
17151;17151
17257;17257
17441;17441
17576;17576
17641;17641
17653;17653
17734;17734
17772;17772
17841;17841
17912;17912
17932;17932
17971;17971
18398;18398
18519;18519
18662;18662
18713;18713
18769;18769
18825;18825
18912;18912
19248;19248
19312;19312
19653;19653
19695;19695
19770;19770
19842;19842
19845;19845
20146;20146
20233;20233
20384;20384
20390;20390
20502;20502
20508;20508
20547;20547
20599;20599
20656;20656
20766;20766
20784;20784
20824;20824
20959;20959
21077;21077
21237;21237
21468;21468
21507;21507
21522;21522
21549;21549
21565;21565
21583;21583
21654;21654
21679;21679
21905;21905
22266;22266
22325;22325
22331;22331
22338;22338
22433;22433
22457;22457
22863;22863
22891;22891
22916;22916
23085;23085
23280;23280
23327;23327
23719;23719
23738;23738
24116;24116
24390;24390
24438;24438
24642;24642
24773;24773
24802;24802
24882;24882
25071;25071
25123;25123
25162;25162
25174;25174
25189;25189
25208;25208
25297;25297
25322;25322
25587;25587
25701;25701
25758;25758
25769;25769
25848;25848
25954;25954
26030;26030
26098;26098
26199;26199
26274;26274
26309;26309
26321;26321
26347;26347
26520;26520
26661;26661
26716;26716
26805;26805
27025;27025
27034;27034
27404;27404
27477;27477
27491;27491
27559;27559
27681;27681
27684;27684
27830;27830
27865;27865
27873;27873
27963;27963
27981;27981
28112;28112
28203;28203
28213;28213
28315;28315
28394;28394
28767;28767
28909;28909
29086;29086
29113;29113
29134;29134
29143;29143
29224;29224
29398;29398
29522;29522
29533;29533
29563;29563
29579;29579
29712;29712
29816;29816
29878;29878
29890;29890
29899;29899
30007;30007
30320;30320
30355;30355
30376;30376
30414;30414
30421;30421
30480;30480
30638;30638
30792;30792
30942;30942
30952;30952
31039;31039
31049;31049
31057;31057
31130;31130
31213;31213
31268;31268
31270;31270
31310;31310
31425;31425
31813;31813
31841;31841
